 Configuration with minimum energy:           22
 Configuration with maximum energy:           13

Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         8        96  0.949650E-01      0.0475      0.0005
         9       192  0.767950E-01      0.1078      0.0006
        10        96  0.550100E-01      0.0627      0.0007
        11        96  0.529780E-01      0.0636      0.0007
        12        96  0.872350E-01      0.0501      0.0005
        13        96  0.113535E+00      0.0418      0.0004
        14        96  0.847840E-01      0.0510      0.0005
        15        96  0.760300E-01      0.0542      0.0006
        16       192  0.658300E-01      0.1163      0.0006
        17        48  0.747900E-01      0.0273      0.0006
        18        24  0.693580E-01      0.0142      0.0006
        19         8  0.100958E+00      0.0038      0.0005
        20         4  0.947210E-01      0.0020      0.0005
        21        12  0.800470E-01      0.0066      0.0005
        22         8  0.000000E+00      0.0076      0.0010


 Infinite Temperature Limit
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        12  0.112331E+00      0.0066      0.0005
         2       192  0.928460E-01      0.1055      0.0005
         3       192  0.945020E-01      0.1055      0.0005
         4        96  0.833450E-01      0.0527      0.0005
         5        24  0.817190E-01      0.0132      0.0005
         6        96  0.740020E-01      0.0527      0.0005
         7        48  0.755040E-01      0.0264      0.0005
         8        96  0.949650E-01      0.0527      0.0005
         9       192  0.767950E-01      0.1055      0.0005
        10        96  0.550100E-01      0.0527      0.0005
        11        96  0.529780E-01      0.0527      0.0005
        12        96  0.872350E-01      0.0527      0.0005
        13        96  0.113535E+00      0.0527      0.0005
        14        96  0.847840E-01      0.0527      0.0005
        15        96  0.760300E-01      0.0527      0.0005
        16       192  0.658300E-01      0.1055      0.0005
        17        48  0.747900E-01      0.0264      0.0005
        18        24  0.693580E-01      0.0132      0.0005
        19         8  0.100958E+00      0.0044      0.0005
        20         4  0.947210E-01      0.0022      0.0005
        21        12  0.800470E-01      0.0066      0.0005
        22         8  0.000000E+00      0.0044      0.0005
