 Configuration with minimum energy:           32
 Configuration with maximum energy:            5

Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         2        48  0.114583E+00      0.0061      0.0001
         3        96  0.828050E-01      0.0163      0.0002
         4       192  0.563250E-01      0.0416      0.0002
         5        96  0.114921E+00      0.0122      0.0001
         6       192  0.835420E-01      0.0324      0.0002
         7       192  0.842920E-01      0.0322      0.0002
         8       192  0.834390E-01      0.0325      0.0002
         9       192  0.658300E-01      0.0381      0.0002
        10       192  0.838030E-01      0.0324      0.0002
        11        96  0.102453E+00      0.0136      0.0001
        12        96  0.374750E-01      0.0247      0.0003
        13       192  0.322770E-01      0.0517      0.0003
        14        96  0.517860E-01      0.0217      0.0002
        15        96  0.386310E-01      0.0244      0.0003
        16       192  0.734100E-01      0.0356      0.0002
        17       192  0.403040E-01      0.0481      0.0003
        18        48  0.347000E-01      0.0127      0.0003
        19       192  0.232260E-01      0.0562      0.0003
        20        48  0.932630E-01      0.0074      0.0002
        21        96  0.797890E-01      0.0168      0.0002
        22        48  0.112055E+00      0.0063      0.0001
        23       192  0.642130E-01      0.0387      0.0002
        24        96  0.524260E-01      0.0215      0.0002
        25        96  0.311700E-01      0.0261      0.0003
        26       192  0.235880E-01      0.0560      0.0003
        27        96  0.566280E-01      0.0207      0.0002
        28        96  0.249730E-01      0.0277      0.0003
        29        96  0.626400E-02      0.0328      0.0003
        30        96  0.533230E-01      0.0214      0.0002
        31        96  0.429800E-02      0.0334      0.0003
        32       192  0.000000E+00      0.0694      0.0004
        33        96  0.158600E-01      0.0300      0.0003
        34        48  0.678700E-02      0.0163      0.0003
        35        96  0.133410E-01      0.0307      0.0003


Temperature=   1673.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        96  0.113641E+00      0.0143      0.0001
         2        48  0.114583E+00      0.0071      0.0001
         3        96  0.828050E-01      0.0177      0.0002
         4       192  0.563250E-01      0.0424      0.0002
         5        96  0.114921E+00      0.0141      0.0001
         6       192  0.835420E-01      0.0351      0.0002
         7       192  0.842920E-01      0.0350      0.0002
         8       192  0.834390E-01      0.0352      0.0002
         9       192  0.658300E-01      0.0397      0.0002
        10       192  0.838030E-01      0.0351      0.0002
        11        96  0.102453E+00      0.0154      0.0002
        12        96  0.374750E-01      0.0242      0.0003
        13       192  0.322770E-01      0.0501      0.0003
        14        96  0.517860E-01      0.0219      0.0002
        15        96  0.386310E-01      0.0240      0.0002
        16       192  0.734100E-01      0.0377      0.0002
        17       192  0.403040E-01      0.0474      0.0002
        18        48  0.347000E-01      0.0123      0.0003
        19       192  0.232260E-01      0.0534      0.0003
        20        48  0.932630E-01      0.0082      0.0002
        21        96  0.797890E-01      0.0180      0.0002
        22        48  0.112055E+00      0.0072      0.0002
        23       192  0.642130E-01      0.0402      0.0002
        24        96  0.524260E-01      0.0218      0.0002
        25        96  0.311700E-01      0.0253      0.0003
        26       192  0.235880E-01      0.0533      0.0003
        27        96  0.566280E-01      0.0212      0.0002
        28        96  0.249730E-01      0.0264      0.0003
        29        96  0.626400E-02      0.0300      0.0003
        30        96  0.533230E-01      0.0217      0.0002
        31        96  0.429800E-02      0.0304      0.0003
        32       192  0.000000E+00      0.0627      0.0003
        33        96  0.158600E-01      0.0281      0.0003
        34        48  0.678700E-02      0.0150      0.0003
        35        96  0.133410E-01      0.0286      0.0003


 Infinite Temperature Limit
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        96  0.113641E+00      0.0220      0.0002
         2        48  0.114583E+00      0.0110      0.0002
         3        96  0.828050E-01      0.0220      0.0002
         4       192  0.563250E-01      0.0440      0.0002
         5        96  0.114921E+00      0.0220      0.0002
         6       192  0.835420E-01      0.0440      0.0002
         7       192  0.842920E-01      0.0440      0.0002
         8       192  0.834390E-01      0.0440      0.0002
         9       192  0.658300E-01      0.0440      0.0002
        10       192  0.838030E-01      0.0440      0.0002
        11        96  0.102453E+00      0.0220      0.0002
        12        96  0.374750E-01      0.0220      0.0002
        13       192  0.322770E-01      0.0440      0.0002
        14        96  0.517860E-01      0.0220      0.0002
        15        96  0.386310E-01      0.0220      0.0002
        16       192  0.734100E-01      0.0440      0.0002
        17       192  0.403040E-01      0.0440      0.0002
        18        48  0.347000E-01      0.0110      0.0002
        19       192  0.232260E-01      0.0440      0.0002
        20        48  0.932630E-01      0.0110      0.0002
        21        96  0.797890E-01      0.0220      0.0002
        22        48  0.112055E+00      0.0110      0.0002
        23       192  0.642130E-01      0.0440      0.0002
        24        96  0.524260E-01      0.0220      0.0002
        25        96  0.311700E-01      0.0220      0.0002
        26       192  0.235880E-01      0.0440      0.0002
        27        96  0.566280E-01      0.0220      0.0002
        28        96  0.249730E-01      0.0220      0.0002
        29        96  0.626400E-02      0.0220      0.0002
        30        96  0.533230E-01      0.0220      0.0002
        31        96  0.429800E-02      0.0220      0.0002
        32       192  0.000000E+00      0.0440      0.0002
        33        96  0.158600E-01      0.0220      0.0002
        34        48  0.678700E-02      0.0110      0.0002
        35        96  0.133410E-01      0.0220      0.0002
