
 ____________________________________________________________________________________________
 Temperature: T =    473.00000000000000      K
 Chemical potential: mu =   -750.45471853376898      eV
 Composition: x =   0.24999999999634548     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
 10     22      192           -68563.27252      -61058.72534    0.189485E-03    0.986901E-06
 10     23      192           -68563.23484      -61058.68765    0.751644E-04    0.391481E-06
 10     24      192           -68563.19848      -61058.65130    0.308073E-04    0.160454E-06
 10     25       96           -68563.19666      -61058.64947    0.147295E-04    0.153432E-06
 10     26       96           -68563.23259      -61058.68540    0.355665E-04    0.370484E-06
 10     27      192           -68563.22735      -61058.68016    0.625456E-04    0.325758E-06
 10     28       64           -68563.25601      -61058.70882    0.421168E-04    0.658076E-06
 10     29      192           -68563.24584      -61058.69865    0.984574E-04    0.512799E-06
 10     30      192           -68563.22906      -61058.68187    0.652302E-04    0.339740E-06
 10     31      192           -68563.24792      -61058.70073    0.103612E-03    0.539647E-06
 10     32      192           -68563.24485      -61058.69767    0.961066E-04    0.500555E-06
 10     33      192           -68563.26372      -61058.71653    0.152668E-03    0.795145E-06
 10     34       96           -68563.22979      -61058.68261    0.332085E-04    0.345922E-06
 10     35       48           -68563.20800      -61058.66082    0.972857E-05    0.202679E-06
 10     36      192           -68563.24395      -61058.69677    0.940032E-04    0.489600E-06
 10     37       48           -68563.20696      -61058.65977    0.948256E-05    0.197553E-06
 10     38      192           -68563.28889      -61058.74170    0.283074E-03    0.147434E-05
 10     39      192           -68563.28843      -61058.74125    0.279959E-03    0.145812E-05
 10     40       96           -68563.29626      -61058.74907    0.169589E-03    0.176655E-05
 10     41       96           -68563.29383      -61058.74665    0.159805E-03    0.166464E-05
 10     42       32           -68563.25704      -61058.70985    0.215984E-04    0.674950E-06
 10     43       16           -68563.27082      -61058.72364    0.151439E-04    0.946494E-06
 10     44       48           -68563.20535      -61058.65816    0.911508E-05    0.189897E-06
 10     45      192           -68563.25355      -61058.70637    0.118962E-03    0.619594E-06
 10     46       48           -68563.24488      -61058.69770    0.240426E-04    0.500887E-06
 10     47      192           -68563.27231      -61058.72512    0.188465E-03    0.981589E-06
 10     48      192           -68563.25558      -61058.70839    0.125018E-03    0.651138E-06
 10     49       48           -68563.21547      -61058.66828    0.116833E-04    0.243403E-06
 10     50       48           -68563.26774      -61058.72055    0.421221E-04    0.877543E-06
 10     51      192           -68563.29441      -61058.74723    0.324175E-03    0.168841E-05
