 Configuration with minimum energy:           79
 Configuration with maximum energy:           18

Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         7       192  0.111469E+00      0.0102      0.0001
         8       192  0.900860E-01      0.0136      0.0001
         9        96  0.826950E-01      0.0075      0.0001
        10        64  0.885840E-01      0.0046      0.0001
        11       192  0.986760E-01      0.0121      0.0001
        12        32  0.139916E+00      0.0012      0.0000
        13        96  0.137034E+00      0.0036      0.0000
        14       192  0.940160E-01      0.0129      0.0001
        15        96  0.841450E-01      0.0074      0.0001
        16        96  0.722400E-01      0.0086      0.0001
        17        96  0.139623E+00      0.0035      0.0000
        18        96  0.141048E+00      0.0035      0.0000
        19        96  0.122687E+00      0.0044      0.0000
        20        96  0.128938E+00      0.0041      0.0000
        21       192  0.103475E+00      0.0114      0.0001
        22       192  0.119856E+00      0.0091      0.0000
        23       192  0.110251E+00      0.0104      0.0001
        24       192  0.111393E+00      0.0102      0.0001
        25        48  0.120330E+00      0.0023      0.0000
        26        48  0.106706E+00      0.0027      0.0001
        27       192  0.797420E-01      0.0156      0.0001
        28       192  0.590970E-01      0.0205      0.0001
        29       192  0.624910E-01      0.0196      0.0001
        30        96  0.495420E-01      0.0116      0.0001
        31       192  0.565620E-01      0.0212      0.0001
        32       192  0.596180E-01      0.0204      0.0001
        33       192  0.804460E-01      0.0154      0.0001
        34        96  0.140357E+00      0.0035      0.0000
        35        96  0.121857E+00      0.0045      0.0000
        36       192  0.103387E+00      0.0114      0.0001
        37        96  0.109390E+00      0.0053      0.0001
        38       192  0.718080E-01      0.0173      0.0001
        39       192  0.925910E-01      0.0131      0.0001
        40        96  0.921940E-01      0.0066      0.0001
        41       192  0.704440E-01      0.0176      0.0001
        42        96  0.882850E-01      0.0070      0.0001
        43        96  0.523500E-01      0.0112      0.0001
        44        96  0.907650E-01      0.0067      0.0001
        45       192  0.109768E+00      0.0105      0.0001
        46       192  0.113003E+00      0.0100      0.0001
        47        96  0.969130E-01      0.0062      0.0001
        48       192  0.712250E-01      0.0175      0.0001
        49       192  0.102835E+00      0.0115      0.0001
        50       192  0.628880E-01      0.0195      0.0001
        51       192  0.825010E-01      0.0150      0.0001
        52       192  0.521300E-01      0.0225      0.0001
        53       192  0.415140E-01      0.0259      0.0001
        54        96  0.793000E-01      0.0078      0.0001
        55       192  0.709160E-01      0.0175      0.0001
        56       192  0.567350E-01      0.0212      0.0001
        57       192  0.421990E-01      0.0257      0.0001
        58        96  0.855740E-01      0.0072      0.0001
        59       192  0.382630E-01      0.0271      0.0001
        60       192  0.600650E-01      0.0202      0.0001
        61       192  0.500600E-01      0.0231      0.0001
        62       192  0.931730E-01      0.0130      0.0001
        63       192  0.411020E-01      0.0261      0.0001
        64        96  0.838000E-01      0.0074      0.0001
        65        96  0.101436E+00      0.0058      0.0001
        66       192  0.878670E-01      0.0140      0.0001
        67       192  0.677220E-01      0.0183      0.0001
        68       192  0.711530E-01      0.0175      0.0001
        69        48  0.249670E-01      0.0081      0.0002
        70        96  0.262870E-01      0.0159      0.0002
        71       192  0.899100E-02      0.0399      0.0002
        72        96  0.292010E-01      0.0153      0.0002
        73        48  0.123177E+00      0.0022      0.0000
        74        96  0.926310E-01      0.0066      0.0001
        75        96  0.523940E-01      0.0112      0.0001
        76       192  0.376550E-01      0.0273      0.0001
        77        96  0.434010E-01      0.0126      0.0001
        78        48  0.217250E-01      0.0084      0.0002
        79        96  0.000000E+00      0.0225      0.0002
        80        32  0.971500E-01      0.0021      0.0001
        81        96  0.716400E-02      0.0205      0.0002
        82        16  0.527720E-01      0.0019      0.0001


Temperature=   1273.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        16  0.135396E+00      0.0008      0.0001
         2        96  0.915580E-01      0.0073      0.0001
         3       192  0.119307E+00      0.0113      0.0001
         4       192  0.138308E+00      0.0095      0.0000
         5       192  0.107256E+00      0.0127      0.0001
         6       192  0.121659E+00      0.0111      0.0001
         7       192  0.111469E+00      0.0122      0.0001
         8       192  0.900860E-01      0.0148      0.0001
         9        96  0.826950E-01      0.0079      0.0001
        10        64  0.885840E-01      0.0050      0.0001
        11       192  0.986760E-01      0.0137      0.0001
        12        32  0.139916E+00      0.0016      0.0000
        13        96  0.137034E+00      0.0048      0.0001
        14       192  0.940160E-01      0.0143      0.0001
        15        96  0.841450E-01      0.0078      0.0001
        16        96  0.722400E-01      0.0087      0.0001
        17        96  0.139623E+00      0.0047      0.0000
        18        96  0.141048E+00      0.0047      0.0000
        19        96  0.122687E+00      0.0055      0.0001
        20        96  0.128938E+00      0.0052      0.0001
        21       192  0.103475E+00      0.0131      0.0001
        22       192  0.119856E+00      0.0113      0.0001
        23       192  0.110251E+00      0.0123      0.0001
        24       192  0.111393E+00      0.0122      0.0001
        25        48  0.120330E+00      0.0028      0.0001
        26        48  0.106706E+00      0.0032      0.0001
        27       192  0.797420E-01      0.0163      0.0001
        28       192  0.590970E-01      0.0196      0.0001
        29       192  0.624910E-01      0.0190      0.0001
        30        96  0.495420E-01      0.0107      0.0001
        31       192  0.565620E-01      0.0201      0.0001
        32       192  0.596180E-01      0.0196      0.0001
        33       192  0.804460E-01      0.0162      0.0001
        34        96  0.140357E+00      0.0047      0.0000
        35        96  0.121857E+00      0.0055      0.0001
        36       192  0.103387E+00      0.0131      0.0001
        37        96  0.109390E+00      0.0062      0.0001
        38       192  0.718080E-01      0.0175      0.0001
        39       192  0.925910E-01      0.0145      0.0001
        40        96  0.921940E-01      0.0073      0.0001
        41       192  0.704440E-01      0.0177      0.0001
        42        96  0.882850E-01      0.0075      0.0001
        43        96  0.523500E-01      0.0104      0.0001
        44        96  0.907650E-01      0.0074      0.0001
        45       192  0.109768E+00      0.0124      0.0001
        46       192  0.113003E+00      0.0120      0.0001
        47        96  0.969130E-01      0.0070      0.0001
        48       192  0.712250E-01      0.0176      0.0001
        49       192  0.102835E+00      0.0132      0.0001
        50       192  0.628880E-01      0.0190      0.0001
        51       192  0.825010E-01      0.0159      0.0001
        52       192  0.521300E-01      0.0209      0.0001
        53       192  0.415140E-01      0.0231      0.0001
        54        96  0.793000E-01      0.0082      0.0001
        55       192  0.709160E-01      0.0176      0.0001
        56       192  0.567350E-01      0.0201      0.0001
        57       192  0.421990E-01      0.0229      0.0001
        58        96  0.855740E-01      0.0077      0.0001
        59       192  0.382630E-01      0.0238      0.0001
        60       192  0.600650E-01      0.0195      0.0001
        61       192  0.500600E-01      0.0213      0.0001
        62       192  0.931730E-01      0.0144      0.0001
        63       192  0.411020E-01      0.0231      0.0001
        64        96  0.838000E-01      0.0078      0.0001
        65        96  0.101436E+00      0.0067      0.0001
        66       192  0.878670E-01      0.0151      0.0001
        67       192  0.677220E-01      0.0182      0.0001
        68       192  0.711530E-01      0.0176      0.0001
        69        48  0.249670E-01      0.0067      0.0001
        70        96  0.262870E-01      0.0132      0.0001
        71       192  0.899100E-02      0.0310      0.0002
        72        96  0.292010E-01      0.0129      0.0001
        73        48  0.123177E+00      0.0027      0.0001
        74        96  0.926310E-01      0.0072      0.0001
        75        96  0.523940E-01      0.0104      0.0001
        76       192  0.376550E-01      0.0239      0.0001
        77        96  0.434010E-01      0.0113      0.0001
        78        48  0.217250E-01      0.0069      0.0001
        79        96  0.000000E+00      0.0168      0.0002
        80        32  0.971500E-01      0.0023      0.0001
        81        96  0.716400E-02      0.0158      0.0002
        82        16  0.527720E-01      0.0017      0.0001


Temperature=   1673.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        16  0.135396E+00      0.0009      0.0001
         2        96  0.915580E-01      0.0076      0.0001
         3       192  0.119307E+00      0.0126      0.0001
         4       192  0.138308E+00      0.0110      0.0001
         5       192  0.107256E+00      0.0137      0.0001
         6       192  0.121659E+00      0.0124      0.0001
         7       192  0.111469E+00      0.0133      0.0001
         8       192  0.900860E-01      0.0154      0.0001
         9        96  0.826950E-01      0.0081      0.0001
        10        64  0.885840E-01      0.0052      0.0001
        11       192  0.986760E-01      0.0145      0.0001
        12        32  0.139916E+00      0.0018      0.0001
        13        96  0.137034E+00      0.0056      0.0001
        14       192  0.940160E-01      0.0150      0.0001
        15        96  0.841450E-01      0.0080      0.0001
        16        96  0.722400E-01      0.0087      0.0001
        17        96  0.139623E+00      0.0055      0.0001
        18        96  0.141048E+00      0.0054      0.0001
        19        96  0.122687E+00      0.0061      0.0001
        20        96  0.128938E+00      0.0059      0.0001
        21       192  0.103475E+00      0.0140      0.0001
        22       192  0.119856E+00      0.0125      0.0001
        23       192  0.110251E+00      0.0134      0.0001
        24       192  0.111393E+00      0.0133      0.0001
        25        48  0.120330E+00      0.0031      0.0001
        26        48  0.106706E+00      0.0034      0.0001
        27       192  0.797420E-01      0.0165      0.0001
        28       192  0.590970E-01      0.0191      0.0001
        29       192  0.624910E-01      0.0186      0.0001
        30        96  0.495420E-01      0.0102      0.0001
        31       192  0.565620E-01      0.0194      0.0001
        32       192  0.596180E-01      0.0190      0.0001
        33       192  0.804460E-01      0.0164      0.0001
        34        96  0.140357E+00      0.0054      0.0001
        35        96  0.121857E+00      0.0062      0.0001
        36       192  0.103387E+00      0.0140      0.0001
        37        96  0.109390E+00      0.0067      0.0001
        38       192  0.718080E-01      0.0175      0.0001
        39       192  0.925910E-01      0.0151      0.0001
        40        96  0.921940E-01      0.0076      0.0001
        41       192  0.704440E-01      0.0176      0.0001
        42        96  0.882850E-01      0.0078      0.0001
        43        96  0.523500E-01      0.0100      0.0001
        44        96  0.907650E-01      0.0077      0.0001
        45       192  0.109768E+00      0.0134      0.0001
        46       192  0.113003E+00      0.0131      0.0001
        47        96  0.969130E-01      0.0073      0.0001
        48       192  0.712250E-01      0.0175      0.0001
        49       192  0.102835E+00      0.0141      0.0001
        50       192  0.628880E-01      0.0186      0.0001
        51       192  0.825010E-01      0.0162      0.0001
        52       192  0.521300E-01      0.0200      0.0001
        53       192  0.415140E-01      0.0215      0.0001
        54        96  0.793000E-01      0.0083      0.0001
        55       192  0.709160E-01      0.0176      0.0001
        56       192  0.567350E-01      0.0194      0.0001
        57       192  0.421990E-01      0.0214      0.0001
        58        96  0.855740E-01      0.0079      0.0001
        59       192  0.382630E-01      0.0220      0.0001
        60       192  0.600650E-01      0.0189      0.0001
        61       192  0.500600E-01      0.0203      0.0001
        62       192  0.931730E-01      0.0151      0.0001
        63       192  0.411020E-01      0.0216      0.0001
        64        96  0.838000E-01      0.0080      0.0001
        65        96  0.101436E+00      0.0071      0.0001
        66       192  0.878670E-01      0.0156      0.0001
        67       192  0.677220E-01      0.0180      0.0001
        68       192  0.711530E-01      0.0175      0.0001
        69        48  0.249670E-01      0.0060      0.0001
        70        96  0.262870E-01      0.0120      0.0001
        71       192  0.899100E-02      0.0270      0.0001
        72        96  0.292010E-01      0.0117      0.0001
        73        48  0.123177E+00      0.0031      0.0001
        74        96  0.926310E-01      0.0076      0.0001
        75        96  0.523940E-01      0.0100      0.0001
        76       192  0.376550E-01      0.0221      0.0001
        77        96  0.434010E-01      0.0106      0.0001
        78        48  0.217250E-01      0.0062      0.0001
        79        96  0.000000E+00      0.0144      0.0001
        80        32  0.971500E-01      0.0024      0.0001
        81        96  0.716400E-02      0.0137      0.0001
        82        16  0.527720E-01      0.0017      0.0001


 Infinite Temperature Limit
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        16  0.135396E+00      0.0014      0.0001
         2        96  0.915580E-01      0.0084      0.0001
         3       192  0.119307E+00      0.0168      0.0001
         4       192  0.138308E+00      0.0168      0.0001
         5       192  0.107256E+00      0.0168      0.0001
         6       192  0.121659E+00      0.0168      0.0001
         7       192  0.111469E+00      0.0168      0.0001
         8       192  0.900860E-01      0.0168      0.0001
         9        96  0.826950E-01      0.0084      0.0001
        10        64  0.885840E-01      0.0056      0.0001
        11       192  0.986760E-01      0.0168      0.0001
        12        32  0.139916E+00      0.0028      0.0001
        13        96  0.137034E+00      0.0084      0.0001
        14       192  0.940160E-01      0.0168      0.0001
        15        96  0.841450E-01      0.0084      0.0001
        16        96  0.722400E-01      0.0084      0.0001
        17        96  0.139623E+00      0.0084      0.0001
        18        96  0.141048E+00      0.0084      0.0001
        19        96  0.122687E+00      0.0084      0.0001
        20        96  0.128938E+00      0.0084      0.0001
        21       192  0.103475E+00      0.0168      0.0001
        22       192  0.119856E+00      0.0168      0.0001
        23       192  0.110251E+00      0.0168      0.0001
        24       192  0.111393E+00      0.0168      0.0001
        25        48  0.120330E+00      0.0042      0.0001
        26        48  0.106706E+00      0.0042      0.0001
        27       192  0.797420E-01      0.0168      0.0001
        28       192  0.590970E-01      0.0168      0.0001
        29       192  0.624910E-01      0.0168      0.0001
        30        96  0.495420E-01      0.0084      0.0001
        31       192  0.565620E-01      0.0168      0.0001
        32       192  0.596180E-01      0.0168      0.0001
        33       192  0.804460E-01      0.0168      0.0001
        34        96  0.140357E+00      0.0084      0.0001
        35        96  0.121857E+00      0.0084      0.0001
        36       192  0.103387E+00      0.0168      0.0001
        37        96  0.109390E+00      0.0084      0.0001
        38       192  0.718080E-01      0.0168      0.0001
        39       192  0.925910E-01      0.0168      0.0001
        40        96  0.921940E-01      0.0084      0.0001
        41       192  0.704440E-01      0.0168      0.0001
        42        96  0.882850E-01      0.0084      0.0001
        43        96  0.523500E-01      0.0084      0.0001
        44        96  0.907650E-01      0.0084      0.0001
        45       192  0.109768E+00      0.0168      0.0001
        46       192  0.113003E+00      0.0168      0.0001
        47        96  0.969130E-01      0.0084      0.0001
        48       192  0.712250E-01      0.0168      0.0001
        49       192  0.102835E+00      0.0168      0.0001
        50       192  0.628880E-01      0.0168      0.0001
        51       192  0.825010E-01      0.0168      0.0001
        52       192  0.521300E-01      0.0168      0.0001
        53       192  0.415140E-01      0.0168      0.0001
        54        96  0.793000E-01      0.0084      0.0001
        55       192  0.709160E-01      0.0168      0.0001
        56       192  0.567350E-01      0.0168      0.0001
        57       192  0.421990E-01      0.0168      0.0001
        58        96  0.855740E-01      0.0084      0.0001
        59       192  0.382630E-01      0.0168      0.0001
        60       192  0.600650E-01      0.0168      0.0001
        61       192  0.500600E-01      0.0168      0.0001
        62       192  0.931730E-01      0.0168      0.0001
        63       192  0.411020E-01      0.0168      0.0001
        64        96  0.838000E-01      0.0084      0.0001
        65        96  0.101436E+00      0.0084      0.0001
        66       192  0.878670E-01      0.0168      0.0001
        67       192  0.677220E-01      0.0168      0.0001
        68       192  0.711530E-01      0.0168      0.0001
        69        48  0.249670E-01      0.0042      0.0001
        70        96  0.262870E-01      0.0084      0.0001
        71       192  0.899100E-02      0.0168      0.0001
        72        96  0.292010E-01      0.0084      0.0001
        73        48  0.123177E+00      0.0042      0.0001
        74        96  0.926310E-01      0.0084      0.0001
        75        96  0.523940E-01      0.0084      0.0001
        76       192  0.376550E-01      0.0168      0.0001
        77        96  0.434010E-01      0.0084      0.0001
        78        48  0.217250E-01      0.0042      0.0001
        79        96  0.000000E+00      0.0084      0.0001
        80        32  0.971500E-01      0.0028      0.0001
        81        96  0.716400E-02      0.0084      0.0001
        82        16  0.527720E-01      0.0014      0.0001
