
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.41490692939203      eV
 Composition: x =   0.75000000000751965     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  9     10       64           -67812.80977      -61059.07561    0.133678E-03    0.208872E-05
  9     11      192           -67812.79968      -61059.06551    0.271421E-03    0.141365E-05
  9     12       32           -67812.75844      -61059.02427    0.917680E-05    0.286775E-06
  9     13       96           -67812.76132      -61059.02716    0.307771E-04    0.320595E-06
  9     14      192           -67812.80434      -61059.07017    0.325033E-03    0.169288E-05
  9     15       96           -67812.81421      -61059.08004    0.238080E-03    0.248000E-05
  9     16       96           -67812.82611      -61059.09195    0.377327E-03    0.393049E-05
  9     17       96           -67812.75873      -61059.02457    0.278442E-04    0.290044E-06
  9     18       96           -67812.75730      -61059.02314    0.263509E-04    0.274489E-06
  9     19       96           -67812.77566      -61059.04150    0.536101E-04    0.558439E-06
  9     20       96           -67812.76941      -61059.03525    0.420954E-04    0.438494E-06
  9     21      192           -67812.79488      -61059.06071    0.225436E-03    0.117415E-05
  9     22      192           -67812.77850      -61059.04433    0.119629E-03    0.623066E-06
  9     23      192           -67812.78810      -61059.05394    0.173457E-03    0.903422E-06
  9     24      192           -67812.78696      -61059.05280    0.165961E-03    0.864383E-06
  9     25       48           -67812.77802      -61059.04386    0.293638E-04    0.611746E-06
  9     26       48           -67812.79165      -61059.05748    0.497377E-04    0.103620E-05
  9     27      192           -67812.81861      -61059.08445    0.564573E-03    0.294049E-05
  9     28      192           -67812.83925      -61059.10509    0.125470E-02    0.653491E-05
  9     29      192           -67812.83586      -61059.10170    0.110033E-02    0.573090E-05
  9     30       96           -67812.84881      -61059.11465    0.907878E-03    0.945706E-05
  9     31      192           -67812.84179      -61059.10763    0.138397E-02    0.720818E-05
  9     32      192           -67812.83873      -61059.10457    0.122967E-02    0.640453E-05
  9     33      192           -67812.81791      -61059.08374    0.549406E-03    0.286149E-05
  9     34       96           -67812.75800      -61059.02383    0.270647E-04    0.281924E-06
  9     35       96           -67812.77649      -61059.04233    0.553592E-04    0.576659E-06
  9     36      192           -67812.79496      -61059.06080    0.226205E-03    0.117815E-05
  9     37       96           -67812.78896      -61059.05480    0.896657E-04    0.934017E-06
  9     38      192           -67812.82654      -61059.09238    0.767371E-03    0.399673E-05
  9     39      192           -67812.80576      -61059.07160    0.343453E-03    0.178882E-05
  9     40       96           -67812.80616      -61059.07200    0.174384E-03    0.181650E-05
  9     41      192           -67812.82791      -61059.09375    0.808946E-03    0.421326E-05
  9     42       96           -67812.81007      -61059.07590    0.202850E-03    0.211302E-05
  9     43       96           -67812.84600      -61059.11184    0.814433E-03    0.848368E-05
  9     44       96           -67812.80759      -61059.07342    0.184294E-03    0.191973E-05
  9     45      192           -67812.78858      -61059.05442    0.176728E-03    0.920460E-06
  9     46      192           -67812.78535      -61059.05119    0.155941E-03    0.812193E-06
  9     47       96           -67812.80144      -61059.06728    0.145288E-03    0.151342E-05
  9     48      192           -67812.82713      -61059.09296    0.784873E-03    0.408788E-05
  9     49      192           -67812.79552      -61059.06135    0.231087E-03    0.120358E-05
  9     50      192           -67812.83546      -61059.10130    0.108356E-02    0.564357E-05
  9     51      192           -67812.81585      -61059.08169    0.507424E-03    0.264283E-05
  9     52      192           -67812.84622      -61059.11206    0.164279E-02    0.855618E-05
  9     53      192           -67812.85684      -61059.12268    0.247698E-02    0.129009E-04
  9     54       96           -67812.81905      -61059.08489    0.287154E-03    0.299119E-05
  9     55      192           -67812.82744      -61059.09327    0.794311E-03    0.413704E-05
  9     56      192           -67812.84162      -61059.10745    0.137474E-02    0.716010E-05
  9     57      192           -67812.85615      -61059.12199    0.241221E-02    0.125636E-04
  9     58       96           -67812.81278      -61059.07862    0.225277E-03    0.234664E-05
  9     59      192           -67812.86009      -61059.12593    0.280890E-02    0.146297E-04
  9     60      192           -67812.83829      -61059.10412    0.120859E-02    0.629474E-05
  9     61      192           -67812.84829      -61059.11413    0.177974E-02    0.926946E-05
  9     62      192           -67812.80518      -61059.07102    0.335807E-03    0.174899E-05
  9     63      192           -67812.85725      -61059.12309    0.251677E-02    0.131082E-04
  9     64       96           -67812.81455      -61059.08039    0.241279E-03    0.251332E-05
  9     65       96           -67812.79692      -61059.06275    0.121968E-03    0.127050E-05
  9     66      192           -67812.81048      -61059.07632    0.412312E-03    0.214746E-05
  9     67      192           -67812.83063      -61059.09647    0.898767E-03    0.468108E-05
  9     68      192           -67812.82720      -61059.09304    0.787062E-03    0.409928E-05
  9     69       48           -67812.87338      -61059.13922    0.117446E-02    0.244680E-04
