
 ____________________________________________________________________________________________
 Temperature: T =    473.00000000000000      K
 Chemical potential: mu =   -750.44611807831780      eV
 Composition: x =   0.31250000000559530     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  6      3       96           -65561.53725      -61058.86054    0.101456E-02    0.105683E-04
  6      4       96           -65561.55042      -61058.87371    0.140160E-02    0.146000E-04
  6      5      192           -65561.54507      -61058.86836    0.245863E-02    0.128054E-04
  6      6      192           -65561.52659      -61058.84989    0.156247E-02    0.813787E-05
  6      7      192           -65561.55623      -61058.87952    0.323250E-02    0.168359E-04
  6      8       16           -65561.58156      -61058.90485    0.501521E-03    0.313450E-04
  6      9       48           -65561.53048      -61058.85377    0.429660E-03    0.895125E-05
  6     10      192           -65561.50648      -61058.82977    0.953869E-03    0.496807E-05
  6     11       96           -65561.50926      -61058.83255    0.510573E-03    0.531847E-05
  6     12       32           -65561.53261      -61058.85591    0.301859E-03    0.943308E-05
  6     13      192           -65561.53638      -61058.85967    0.198632E-02    0.103454E-04
  6     14      192           -65561.55508      -61058.87837    0.314273E-02    0.163684E-04
  6     15      192           -65561.56568      -61058.88897    0.407624E-02    0.212304E-04
  6     16      192           -65561.52769      -61058.85098    0.160509E-02    0.835987E-05
  6     17      192           -65561.54578      -61058.86907    0.250141E-02    0.130282E-04
  6     18       64           -65561.54481      -61058.86810    0.814273E-03    0.127230E-04
  6     19      192           -65561.55339      -61058.87669    0.301561E-02    0.157063E-04
  6     20       96           -65561.56876      -61058.89205    0.219804E-02    0.228963E-04
  6     21      192           -65561.56988      -61058.89317    0.451900E-02    0.235364E-04
  6     22      192           -65561.54427      -61058.86756    0.241043E-02    0.125543E-04
  6     23      192           -65561.55311      -61058.87640    0.299452E-02    0.155965E-04
  6     24      192           -65561.57385      -61058.89714    0.498068E-02    0.259410E-04
  6     25      192           -65561.56475      -61058.88804    0.398438E-02    0.207520E-04
  6     26       96           -65561.58096      -61058.90426    0.296544E-02    0.308900E-04
  6     27      192           -65561.56031      -61058.88360    0.357325E-02    0.186107E-04
  6     28       96           -65561.53571      -61058.85901    0.977136E-03    0.101785E-04
  6     29      192           -65561.55869      -61058.88198    0.343377E-02    0.178842E-04
  6     30      192           -65561.55524      -61058.87853    0.315532E-02    0.164340E-04
  6     31      192           -65561.55868      -61058.88197    0.343276E-02    0.178789E-04
  6     32      192           -65561.56461      -61058.88790    0.397062E-02    0.206803E-04
  6     33       48           -65561.50632      -61058.82961    0.237510E-03    0.494812E-05
  6     34      192           -65561.52438      -61058.84767    0.147987E-02    0.770763E-05
  6     35       32           -65561.54198      -61058.86528    0.379874E-03    0.118711E-04
  6     36      192           -65561.51409      -61058.83738    0.114970E-02    0.598800E-05
  6     37       48           -65561.51811      -61058.84140    0.317201E-03    0.660835E-05
  6     38       96           -65561.51989      -61058.84318    0.662720E-03    0.690334E-05
  6     39       96           -65561.51745      -61058.84075    0.624304E-03    0.650317E-05
  6     40       96           -65561.52718      -61058.85047    0.792549E-03    0.825571E-05
  6     41       48           -65561.51654      -61058.83984    0.305260E-03    0.635959E-05
  6     42      192           -65561.54816      -61058.87145    0.265227E-02    0.138139E-04
  6     43       24           -65561.51377      -61058.83706    0.142595E-03    0.594147E-05
  6     44       96           -65561.52518      -61058.84847    0.754580E-03    0.786021E-05
  6     45      192           -65561.54372      -61058.86701    0.237824E-02    0.123867E-04
  6     46      192           -65561.55012      -61058.87341    0.278258E-02    0.144926E-04
  6     47       96           -65561.54490      -61058.86819    0.122423E-02    0.127524E-04
  6     48       96           -65561.55341      -61058.87670    0.150843E-02    0.157128E-04
  6     49       96           -65561.57079      -61058.89408    0.231040E-02    0.240666E-04
  6     50       48           -65561.53532      -61058.85861    0.483844E-03    0.100801E-04
  6     51       96           -65561.57028      -61058.89358    0.228189E-02    0.237697E-04
  6     52      192           -65561.57470      -61058.89799    0.508551E-02    0.264870E-04
  6     53       96           -65561.57929      -61058.90259    0.284640E-02    0.296500E-04
  6     54       48           -65561.57496      -61058.89825    0.127967E-02    0.266598E-04
  6     55      192           -65561.56311      -61058.88640    0.382744E-02    0.199346E-04
  6     56       96           -65561.57904      -61058.90234    0.282900E-02    0.294687E-04
  6     57       16           -65561.54741      -61058.87070    0.216982E-03    0.135614E-04
  6     58       48           -65561.51364      -61058.83693    0.284268E-03    0.592226E-05
  6     59       48           -65561.55833      -61058.88162    0.850873E-03    0.177265E-04
  6     60       96           -65561.60610      -61058.92939    0.549429E-02    0.572322E-04
  6     61      192           -65561.59742      -61058.92071    0.888003E-02    0.462502E-04
  6     62       96           -65561.62828      -61058.95157    0.946825E-02    0.986276E-04
  6     63       96           -65561.60348      -61058.92677    0.515186E-02    0.536652E-04
  6     64       48           -65561.61413      -61058.93742    0.334543E-02    0.696964E-04
  6     65       48           -65561.59121      -61058.91450    0.190628E-02    0.397142E-04
  7      1      192           -66311.94451      -61058.82168    0.782206E-03    0.407399E-05
  7      2       48           -66311.97842      -61058.85560    0.449367E-03    0.936182E-05
  7      3       96           -66311.94963      -61058.82681    0.443504E-03    0.461984E-05
  7      4       96           -66311.91560      -61058.79277    0.192428E-03    0.200446E-05
  7      5       48           -66311.91094      -61058.78811    0.858070E-04    0.178765E-05
  7      6       96           -66311.93192      -61058.80909    0.287182E-03    0.299148E-05
  7      7       96           -66311.96458      -61058.84176    0.639966E-03    0.666631E-05
  7      8      192           -66311.94323      -61058.82041    0.758061E-03    0.394824E-05
  7      9      192           -66311.96152      -61058.83869    0.118730E-02    0.618387E-05
  7     10      192           -66311.97454      -61058.85171    0.163410E-02    0.851092E-05
  7     11      192           -66311.98827      -61058.86544    0.228871E-02    0.119204E-04
  7     12      192           -66311.96920      -61058.84638    0.143362E-02    0.746677E-05
  7     13      192           -66311.97897      -61058.85614    0.182175E-02    0.948830E-05
  7     14      192           -66311.95455      -61058.83172    0.100056E-02    0.521125E-05
  7     15      192           -66311.94879      -61058.82596    0.868788E-03    0.452494E-05
  7     16      192           -66311.97501      -61058.85218    0.165309E-02    0.860984E-05
  7     17      192           -66311.97941      -61058.85658    0.184144E-02    0.959081E-05
  7     18      192           -66311.97931      -61058.85648    0.183679E-02    0.956661E-05
  7     19       96           -66311.98554      -61058.86272    0.107027E-02    0.111487E-04
  7     20       96           -66311.97225      -61058.84943    0.772505E-03    0.804693E-05
  7     21      192           -66311.93300      -61058.81017    0.589756E-03    0.307165E-05
  7     22      192           -66311.95195      -61058.82912    0.938799E-03    0.488958E-05
  7     23       96           -66311.91308      -61058.79025    0.180887E-03    0.188424E-05
  7     24       96           -66311.92432      -61058.80149    0.238330E-03    0.248261E-05
  7     25      192           -66311.93376      -61058.81094    0.600945E-03    0.312992E-05
  7     26      192           -66311.94964      -61058.82681    0.887030E-03    0.461995E-05
  7     27      192           -66311.95674      -61058.83391    0.105592E-02    0.549958E-05
  7     28      192           -66311.94869      -61058.82587    0.866723E-03    0.451418E-05
  7     29       96           -66311.96376      -61058.84094    0.627235E-03    0.653370E-05
  7     30      192           -66311.92504      -61058.80221    0.485132E-03    0.252673E-05
  7     31       96           -66311.92608      -61058.80325    0.248816E-03    0.259184E-05
  7     32      192           -66311.94219      -61058.81937    0.738982E-03    0.384887E-05
  7     33      192           -66311.95534      -61058.83251    0.102027E-02    0.531389E-05
  7     34      192           -66311.93241      -61058.80958    0.581281E-03    0.302751E-05
  7     35      192           -66311.94584      -61058.82301    0.808151E-03    0.420912E-05
  7     36      192           -66311.96232      -61058.83949    0.121072E-02    0.630582E-05
  7     37      192           -66311.94051      -61058.81769    0.709125E-03    0.369336E-05
  7     38       96           -66311.94944      -61058.82662    0.441420E-03    0.459813E-05
  7     39      192           -66311.96984      -61058.84701    0.145613E-02    0.758400E-05
  7     40       96           -66311.93276      -61058.80993    0.293118E-03    0.305332E-05
  7     41      192           -66311.96916      -61058.84634    0.143221E-02    0.745944E-05
  7     42       96           -66311.96775      -61058.84492    0.691605E-03    0.720422E-05
  7     43       96           -66311.96666      -61058.84383    0.673372E-03    0.701429E-05
  7     44       96           -66311.99143      -61058.86860    0.123660E-02    0.128813E-04
  7     45       96           -66311.96841      -61058.84558    0.702981E-03    0.732272E-05
  7     46      192           -66311.97714      -61058.85431    0.174177E-02    0.907173E-05
  7     47      192           -66311.96119      -61058.83836    0.117776E-02    0.613416E-05
  7     48      192           -66311.99185      -61058.86902    0.249858E-02    0.130134E-04
  7     49      192           -66311.99770      -61058.87487    0.288441E-02    0.150229E-04
  7     50      192           -66311.97840      -61058.85558    0.179659E-02    0.935723E-05
  7     51       48           -66311.98007      -61058.85725    0.467920E-03    0.974833E-05
  7     52       96           -66311.96713      -61058.84431    0.681299E-03    0.709686E-05
  7     53       48           -66311.91035      -61058.78752    0.845760E-04    0.176200E-05
  7     54       96           -66311.93432      -61058.81149    0.304577E-03    0.317267E-05
  7     55      192           -66311.93864      -61058.81581    0.677294E-03    0.352757E-05
  7     56      192           -66311.94337      -61058.82054    0.760558E-03    0.396124E-05
  7     57       32           -66311.93053      -61058.80770    0.925155E-04    0.289111E-05
  7     58       96           -66311.95366      -61058.83083    0.489547E-03    0.509945E-05
