
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.43977067318497      eV
 Composition: x =   0.24999999999485709     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  5     29       96           -64811.10918      -61058.59238    0.255716E-02    0.266371E-04
  5     30       48           -64811.11499      -61058.59819    0.136776E-02    0.284950E-04
  5     31       48           -64811.12250      -61058.60570    0.149224E-02    0.310883E-04
  5     32       96           -64811.15092      -61058.63412    0.415063E-02    0.432357E-04
  5     33       96           -64811.15329      -61058.63650    0.426646E-02    0.444423E-04
  5     34       48           -64811.17400      -61058.65720    0.271257E-02    0.565119E-04
  5     35       96           -64811.20776      -61058.69096    0.802720E-02    0.836167E-04
  6      1       48           -65561.52021      -61058.50005    0.437918E-03    0.912330E-05
  6      2       96           -65561.51663      -61058.49648    0.840245E-03    0.875255E-05
  6      3       96           -65561.53725      -61058.51709    0.106730E-02    0.111177E-04
  6      4       96           -65561.55042      -61058.53026    0.124357E-02    0.129538E-04
  6      5      192           -65561.54507      -61058.52491    0.233753E-02    0.121746E-04
  6      6      192           -65561.52659      -61058.50644    0.188639E-02    0.982496E-05
  6      7      192           -65561.55623      -61058.53607    0.266055E-02    0.138570E-04
  6      8       16           -65561.58156      -61058.56140    0.297486E-03    0.185929E-04
  6      9       48           -65561.53048      -61058.51032    0.493335E-03    0.102778E-04
  6     10      192           -65561.50648      -61058.48632    0.149368E-02    0.777958E-05
  6     11       96           -65561.50926      -61058.48910    0.771308E-03    0.803445E-05
  6     12       32           -65561.53261      -61058.51246    0.337148E-03    0.105359E-04
  6     13      192           -65561.53638      -61058.51622    0.211318E-02    0.110061E-04
  6     14      192           -65561.55508      -61058.53492    0.262534E-02    0.136736E-04
  6     15      192           -65561.56568      -61058.54552    0.296901E-02    0.154636E-04
  6     16      192           -65561.52769      -61058.50753    0.191056E-02    0.995084E-05
  6     17      192           -65561.54578      -61058.52562    0.235668E-02    0.122744E-04
  6     18       64           -65561.54481      -61058.52465    0.776802E-03    0.121375E-04
  6     19      192           -65561.55339      -61058.53324    0.257456E-02    0.134092E-04
  6     20       96           -65561.56876      -61058.54860    0.153851E-02    0.160261E-04
  6     21      192           -65561.56988      -61058.54972    0.311741E-02    0.162365E-04
  6     22      192           -65561.54427      -61058.52411    0.231574E-02    0.120612E-04
  6     23      192           -65561.55311      -61058.53295    0.256603E-02    0.133647E-04
