  6     33       48           -65561.50632      -61057.81703    0.375401E-04    0.782086E-06
  6     34      192           -65561.52438      -61057.83510    0.177041E-03    0.922090E-06
  6     35       32           -65561.54198      -61057.85270    0.346431E-04    0.108260E-05
  6     36      192           -65561.51409      -61057.82481    0.161189E-03    0.839528E-06
  6     37       48           -65561.51811      -61057.82882    0.418007E-04    0.870848E-06
  6     38       96           -65561.51989      -61057.83060    0.849690E-04    0.885094E-06
  6     39       96           -65561.51745      -61057.82817    0.831045E-04    0.865672E-06
  6     40       96           -65561.52718      -61057.83790    0.908091E-04    0.945928E-06
  6     41       48           -65561.51654      -61057.82726    0.412090E-04    0.858520E-06
  6     42      192           -65561.54816      -61057.85888    0.219901E-03    0.114532E-05
  6     43       24           -65561.51377      -61057.82449    0.200904E-04    0.837098E-06
  6     44       96           -65561.52518      -61057.83589    0.891677E-04    0.928830E-06
  6     45      192           -65561.54372      -61057.85443    0.211168E-03    0.109984E-05
  6     46      192           -65561.55012      -61057.86083    0.223855E-03    0.116591E-05
  6     47       96           -65561.54490      -61057.85562    0.106732E-03    0.111179E-05
  6     48       96           -65561.55341      -61057.86413    0.115340E-03    0.120146E-05
  6     49       96           -65561.57079      -61057.88151    0.135139E-03    0.140770E-05
  6     50       48           -65561.53532      -61057.84603    0.489010E-04    0.101877E-05
  6     51       96           -65561.57028      -61057.88100    0.134517E-03    0.140122E-05
  6     52      192           -65561.57470      -61057.88541    0.280075E-03    0.145872E-05
  6     53       96           -65561.57929      -61057.89001    0.146032E-03    0.152116E-05
  6     54       48           -65561.57496      -61057.88568    0.701881E-04    0.146225E-05
  6     55      192           -65561.56311      -61057.87383    0.252007E-03    0.131254E-05
  6     56       96           -65561.57904      -61057.88976    0.145699E-03    0.151770E-05
  6     57       16           -65561.54741      -61057.85813    0.181999E-04    0.113749E-05
  6     58       48           -65561.51364      -61057.82436    0.401324E-04    0.836091E-06
  6     59       48           -65561.55833      -61057.86904    0.603128E-04    0.125652E-05
  6     60       96           -65561.60610      -61057.91682    0.186454E-03    0.194223E-05
  6     61      192           -65561.59742      -61057.90813    0.344526E-03    0.179441E-05
  6     62       96           -65561.62828      -61057.93900    0.228241E-03    0.237751E-05
  6     63       96           -65561.60348      -61057.91419    0.182049E-03    0.189634E-05
  6     64       48           -65561.61413      -61057.92485    0.100308E-03    0.208975E-05
  6     65       48           -65561.59121      -61057.90192    0.813911E-04    0.169565E-05
  7      1      192           -66311.94451      -61057.64034    0.299958E-04    0.156228E-06
  7      2       48           -66311.97842      -61057.67426    0.102155E-04    0.212824E-06
  7      3       96           -66311.94963      -61057.64547    0.157152E-04    0.163700E-06
  7      4       96           -66311.91560      -61057.61144    0.115234E-04    0.120036E-06
  7      5       48           -66311.91094      -61057.60677    0.552177E-05    0.115037E-06
  7      6       96           -66311.93192      -61057.62776    0.133718E-04    0.139290E-06
