   x           300.0          873.0         1273.0         1673.0      Infinity
  -670.900  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -670.800  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -670.700  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -670.600  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -670.500  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -670.400  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -670.300  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -670.200  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -670.100  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -670.000  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -669.900  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -669.800  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -669.700  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -669.600  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -669.500  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -669.400  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -669.300  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -669.200  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -669.100  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -669.000  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -668.900  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -668.800  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -668.700  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -668.600  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -668.500  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -668.400  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -668.300  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -668.200  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -668.100  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -668.000  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -667.900  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -667.800  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -667.700  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -667.600  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -667.500  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -667.400  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -667.300  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -667.200  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -667.100  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -667.000  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -666.900  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -666.800  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -666.700  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -666.600  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -666.500  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -666.400  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -666.300  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -666.200  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -666.100  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -666.000  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -665.900  0.172920E-04  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -665.800  0.243199E-04  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -665.700  0.339463E-04  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  -665.600  0.470182E-04  0.154310E-04  0.000000E+00  0.000000E+00  0.000000E+00
  -665.500  0.646122E-04  0.219271E-04  0.176527E-04  0.157234E-04  0.000000E+00
  -665.400  0.880787E-04  0.308642E-04  0.250105E-04  0.223542E-04  0.154998E-04
  -665.300  0.119089E-03  0.430316E-04  0.350904E-04  0.314681E-04  0.220493E-04
  -665.200  0.159686E-03  0.594253E-04  0.487543E-04  0.438622E-04  0.310469E-04
  -665.100  0.212329E-03  0.812854E-04  0.670827E-04  0.605397E-04  0.432747E-04
  -665.000  0.279944E-03  0.110137E-03  0.914143E-04  0.827478E-04  0.597165E-04
  -664.900  0.365961E-03  0.147835E-03  0.123388E-03  0.112019E-03  0.815963E-04
  -664.800  0.474353E-03  0.196607E-03  0.164988E-03  0.150217E-03  0.110419E-03
  -664.700  0.609659E-03  0.259102E-03  0.218591E-03  0.199582E-03  0.148020E-03
  -664.600  0.777005E-03  0.338442E-03  0.287022E-03  0.262787E-03  0.196612E-03
  -664.500  0.982118E-03  0.438279E-03  0.373607E-03  0.342993E-03  0.258851E-03
  -664.400  0.123133E-02  0.562852E-03  0.482243E-03  0.443919E-03  0.337903E-03
  -664.300  0.153160E-02  0.717066E-03  0.617473E-03  0.569921E-03  0.437523E-03
  -664.200  0.189051E-02  0.906575E-03  0.784582E-03  0.726083E-03  0.562160E-03
  -664.100  0.231632E-02  0.113790E-02  0.989707E-03  0.918340E-03  0.717076E-03
  -664.000  0.281800E-02  0.141854E-02  0.123998E-02  0.115362E-02  0.908498E-03
  -663.900  0.340533E-02  0.175717E-02  0.154371E-02  0.144001E-02  0.114381E-02
  -663.800  0.408900E-02  0.216384E-02  0.191057E-02  0.178700E-02  0.143175E-02
  -663.700  0.488073E-02  0.265016E-02  0.235188E-02  0.220569E-02  0.178274E-02
  -663.600  0.579348E-02  0.322962E-02  0.288084E-02  0.270913E-02  0.220912E-02
