 Configuration with minimum energy:           65
 Configuration with maximum energy:           25

Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
        44        48  0.122260E+00      0.0060      0.0001
        45       192  0.740580E-01      0.0240      0.0001
        46        48  0.827270E-01      0.0060      0.0001
        47       192  0.553040E-01      0.0240      0.0001
        48       192  0.720340E-01      0.0240      0.0001
        49        48  0.112142E+00      0.0060      0.0001
        50        48  0.598710E-01      0.0060      0.0001
        51       192  0.331970E-01      0.0240      0.0001
        52       192  0.219540E-01      0.0240      0.0001
        53        24  0.102269E+00      0.0030      0.0001
        54        96  0.247500E-01      0.0120      0.0001
        55        96  0.112336E+00      0.0120      0.0001
        56        32  0.790950E-01      0.0040      0.0001
        57        96  0.612070E-01      0.0120      0.0001
        58        48  0.249770E-01      0.0060      0.0001
        59        96  0.230570E-01      0.0120      0.0001
        60        96  0.198060E-01      0.0120      0.0001
        61        16  0.907100E-01      0.0020      0.0001
        62        96  0.359910E-01      0.0120      0.0001
        63        48  0.236990E-01      0.0060      0.0001
        64        96  0.324660E-01      0.0120      0.0001
        65        48  0.000000E+00      0.0060      0.0001
