
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.41490692939294      eV
 Composition: x =   0.74999999998564248     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  8     27       12           -67062.33386      -61059.01461    0.236759E-05    0.197299E-06
  8     28       96           -67062.36664      -61059.04739    0.673093E-04    0.701139E-06
  8     29       96           -67062.36557      -61059.04631    0.645653E-04    0.672556E-06
  8     30       96           -67062.38265      -61059.06339    0.125011E-03    0.130220E-05
  8     31      192           -67062.37600      -61059.05674    0.193343E-03    0.100700E-05
  8     32      192           -67062.40881      -61059.08955    0.687827E-03    0.358243E-05
  8     33      192           -67062.39069      -61059.07143    0.341280E-03    0.177750E-05
  8     34      192           -67062.39482      -61059.07556    0.400382E-03    0.208532E-05
  8     35      192           -67062.39888      -61059.07962    0.468468E-03    0.243994E-05
  8     36       48           -67062.38652      -61059.06726    0.725962E-04    0.151242E-05
  8     37       48           -67062.41005      -61059.09080    0.180441E-03    0.375918E-05
  8     38      192           -67062.33684      -61059.01759    0.425146E-04    0.221430E-06
  8     39      192           -67062.34865      -61059.02940    0.671358E-04    0.349666E-06
  8     40      192           -67062.35818      -61059.03893    0.970586E-04    0.505514E-06
  8     41       24           -67062.32830      -61059.00904    0.381840E-05    0.159100E-06
  8     42      192           -67062.35732      -61059.03807    0.938793E-04    0.488955E-06
  8     43       96           -67062.36696      -61059.04770    0.681345E-04    0.709734E-06
  8     44       96           -67062.37934      -61059.06009    0.110013E-03    0.114597E-05
  8     45       48           -67062.35793      -61059.03868    0.240311E-04    0.500649E-06
  8     46       96           -67062.36611      -61059.04685    0.659307E-04    0.686778E-06
  8     47      192           -67062.37410      -61059.05484    0.179643E-03    0.935642E-06
  8     48      192           -67062.38632      -61059.06707    0.288236E-03    0.150123E-05
  8     49      192           -67062.36835      -61059.04910    0.143830E-03    0.749114E-06
  8     50       48           -67062.36430      -61059.04505    0.307470E-04    0.640562E-06
  8     51       96           -67062.35851      -61059.03925    0.491395E-04    0.511869E-06
  8     52      192           -67062.41745      -61059.09819    0.960707E-03    0.500368E-05
  8     53      192           -67062.39766      -61059.07840    0.446891E-03    0.232756E-05
  8     54      192           -67062.42900      -61059.10974    0.150184E-02    0.782206E-05
  8     55       48           -67062.40622      -61059.08697    0.155600E-03    0.324167E-05
  8     56      192           -67062.41988      -61059.10062    0.105543E-02    0.549704E-05
  8     57      192           -67062.41906      -61059.09981    0.102264E-02    0.532624E-05
  8     58       96           -67062.42897      -61059.10971    0.750163E-03    0.781420E-05
  8     59      192           -67062.42367      -61059.10442    0.122246E-02    0.636696E-05
  8     60      192           -67062.43777      -61059.11852    0.210913E-02    0.109850E-04
  8     61      192           -67062.40146      -61059.08220    0.517653E-03    0.269611E-05
  8     62      192           -67062.43244      -61059.11319    0.171611E-02    0.893810E-05
  8     63      192           -67062.44145      -61059.12220    0.243169E-02    0.126650E-04
  8     64      192           -67062.39707      -61059.07781    0.436790E-03    0.227495E-05
  8     65       96           -67062.40749      -61059.08823    0.326769E-03    0.340384E-05
  8     66      192           -67062.42128      -61059.10203    0.111434E-02    0.580383E-05
  8     67      192           -67062.40120      -61059.08195    0.512512E-03    0.266933E-05
  8     68       96           -67062.35701      -61059.03775    0.463712E-04    0.483033E-06
  8     69       96           -67062.35604      -61059.03678    0.446635E-04    0.465245E-06
  8     70      192           -67062.37643      -61059.05717    0.196563E-03    0.102377E-05
  8     71       96           -67062.37170      -61059.05244    0.818551E-04    0.852658E-06
  8     72       96           -67062.39875      -61059.07950    0.233104E-03    0.242817E-05
  8     73      192           -67062.40666      -61059.08740    0.632938E-03    0.329655E-05
  8     74       96           -67062.41114      -61059.09189    0.376408E-03    0.392092E-05
  8     75       96           -67062.42871      -61059.10946    0.742742E-03    0.773690E-05
  8     76       24           -67062.40570      -61059.08644    0.762331E-04    0.317638E-05
  8     77       96           -67062.36628      -61059.04703    0.663837E-04    0.691497E-06
  8     78       96           -67062.36486      -61059.04561    0.628405E-04    0.654589E-06
  8     79       48           -67062.36441      -61059.04516    0.308733E-04    0.643194E-06
  8     80      192           -67062.39150      -61059.07225    0.352169E-03    0.183422E-05
  8     81      192           -67062.37530      -61059.05604    0.188164E-03    0.980021E-06
  8     82       96           -67062.41244      -61059.09318    0.395713E-03    0.412201E-05
  8     83       96           -67062.39691      -61059.07766    0.217081E-03    0.226126E-05
  8     84      192           -67062.42530      -61059.10604    0.130156E-02    0.677897E-05
  8     85      192           -67062.44172      -61059.12246    0.245646E-02    0.127940E-04
  8     86      192           -67062.41863      -61059.09937    0.100569E-02    0.523798E-05
  8     87       96           -67062.42418      -61059.10492    0.623286E-03    0.649256E-05
  8     88       96           -67062.41311      -61059.09385    0.406118E-03    0.423040E-05
  8     89      192           -67062.44060      -61059.12135    0.235285E-02    0.122544E-04
  8     90       48           -67062.41450      -61059.09524    0.214301E-03    0.446460E-05
  8     91       96           -67062.44096      -61059.12170    0.119283E-02    0.124253E-04
  8     92       48           -67062.47212      -61059.15287    0.199081E-02    0.414752E-04
  8     93       96           -67062.46959      -61059.15033    0.360972E-02    0.376013E-04
  8     94        6           -67062.34545      -61059.02619    0.185309E-05    0.308848E-06
  8     95       24           -67062.40391      -61059.08466    0.711443E-04    0.296435E-05
  8     96       48           -67062.45068      -61059.13143    0.868769E-03    0.180994E-04
  8     97       12           -67062.47861      -61059.15935    0.639632E-03    0.533026E-04
  9      1       16           -67812.76296      -61059.02879    0.546504E-05    0.341565E-06
  9      2       96           -67812.80679      -61059.07263    0.178727E-03    0.186174E-05
  9      3      192           -67812.77905      -61059.04488    0.122196E-03    0.636439E-06
  9      4      192           -67812.76004      -61059.02588    0.585943E-04    0.305179E-06
  9      5      192           -67812.79110      -61059.05693    0.194763E-03    0.101439E-05
  9      6      192           -67812.77669      -61059.04253    0.111570E-03    0.581092E-06
  9      7      192           -67812.78688      -61059.05272    0.165474E-03    0.861845E-06
  9      8      192           -67812.80827      -61059.07410    0.378398E-03    0.197082E-05
  9      9       96           -67812.81566      -61059.08149    0.251815E-03    0.262308E-05
  9     10       64           -67812.80977      -61059.07561    0.133678E-03    0.208872E-05
  9     11      192           -67812.79968      -61059.06551    0.271421E-03    0.141365E-05
  9     12       32           -67812.75844      -61059.02427    0.917680E-05    0.286775E-06
  9     13       96           -67812.76132      -61059.02716    0.307771E-04    0.320595E-06
  9     14      192           -67812.80434      -61059.07017    0.325033E-03    0.169288E-05
  9     15       96           -67812.81421      -61059.08004    0.238080E-03    0.248000E-05
  9     16       96           -67812.82611      -61059.09195    0.377327E-03    0.393049E-05
  9     17       96           -67812.75873      -61059.02457    0.278442E-04    0.290044E-06
  9     18       96           -67812.75730      -61059.02314    0.263509E-04    0.274489E-06
  9     19       96           -67812.77566      -61059.04150    0.536101E-04    0.558439E-06
  9     20       96           -67812.76941      -61059.03525    0.420954E-04    0.438494E-06
  9     21      192           -67812.79488      -61059.06071    0.225436E-03    0.117415E-05
  9     22      192           -67812.77850      -61059.04433    0.119629E-03    0.623066E-06
  9     23      192           -67812.78810      -61059.05394    0.173457E-03    0.903422E-06
  9     24      192           -67812.78696      -61059.05280    0.165961E-03    0.864383E-06
  9     25       48           -67812.77802      -61059.04386    0.293638E-04    0.611746E-06
  9     26       48           -67812.79165      -61059.05748    0.497377E-04    0.103620E-05
