 Configuration with minimum energy:           62
 Configuration with maximum energy:           33

Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
        44        96  0.103104E+00      0.0092      0.0001
        45       192  0.845660E-01      0.0217      0.0001
        46       192  0.781660E-01      0.0230      0.0001
        47        96  0.833800E-01      0.0110      0.0001
        48        96  0.748710E-01      0.0119      0.0001
        49        96  0.574930E-01      0.0139      0.0001
        50        48  0.929650E-01      0.0050      0.0001
        51        96  0.579990E-01      0.0138      0.0001
        52       192  0.535870E-01      0.0288      0.0002
        53        96  0.489890E-01      0.0150      0.0002
        54        48  0.533220E-01      0.0072      0.0002
        55       192  0.651710E-01      0.0259      0.0001
        56        96  0.492390E-01      0.0150      0.0002
        57        16  0.808730E-01      0.0019      0.0001
        58        48  0.114643E+00      0.0041      0.0001
        59        48  0.699560E-01      0.0062      0.0001
        60        96  0.221830E-01      0.0192      0.0002
        61       192  0.308670E-01      0.0354      0.0002
        62        96  0.000000E+00      0.0235      0.0002
        63        96  0.248060E-01      0.0187      0.0002
        64        48  0.141520E-01      0.0103      0.0002
        65        48  0.370770E-01      0.0084      0.0002


Temperature=   1673.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        48  0.108074E+00      0.0047      0.0001
         2        96  0.111649E+00      0.0093      0.0001
         3        96  0.910370E-01      0.0107      0.0001
         4        96  0.778650E-01      0.0117      0.0001
         5       192  0.832110E-01      0.0226      0.0001
         6       192  0.101689E+00      0.0198      0.0001
         7       192  0.720570E-01      0.0244      0.0001
         8        16  0.467230E-01      0.0024      0.0002
         9        48  0.978060E-01      0.0051      0.0001
        10       192  0.121804E+00      0.0173      0.0001
        11        96  0.119026E+00      0.0088      0.0001
        12        32  0.956690E-01      0.0034      0.0001
        13       192  0.919060E-01      0.0212      0.0001
        14       192  0.732050E-01      0.0242      0.0001
        15       192  0.626040E-01      0.0260      0.0001
        16       192  0.100592E+00      0.0200      0.0001
        17       192  0.825080E-01      0.0227      0.0001
        18        64  0.834740E-01      0.0075      0.0001
        19       192  0.748880E-01      0.0239      0.0001
        20        96  0.595250E-01      0.0133      0.0001
        21       192  0.584010E-01      0.0268      0.0001
        22       192  0.840180E-01      0.0224      0.0001
        23       192  0.751740E-01      0.0238      0.0001
        24       192  0.544360E-01      0.0275      0.0001
        25       192  0.635330E-01      0.0259      0.0001
        26        96  0.473190E-01      0.0145      0.0002
        27       192  0.679720E-01      0.0251      0.0001
        28        96  0.925690E-01      0.0106      0.0001
        29       192  0.695950E-01      0.0248      0.0001
        30       192  0.730420E-01      0.0242      0.0001
        31       192  0.696070E-01      0.0248      0.0001
        32       192  0.636740E-01      0.0258      0.0001
        33        48  0.121968E+00      0.0043      0.0001
        34       192  0.103903E+00      0.0195      0.0001
        35        32  0.862990E-01      0.0037      0.0001
        36       192  0.114193E+00      0.0182      0.0001
        37        48  0.110175E+00      0.0047      0.0001
        38        96  0.108395E+00      0.0095      0.0001
        39        96  0.110829E+00      0.0093      0.0001
        40        96  0.101103E+00      0.0100      0.0001
        41        48  0.111739E+00      0.0046      0.0001
        42       192  0.801210E-01      0.0230      0.0001
        43        24  0.114511E+00      0.0023      0.0001
        44        96  0.103104E+00      0.0098      0.0001
        45       192  0.845660E-01      0.0223      0.0001
        46       192  0.781660E-01      0.0234      0.0001
        47        96  0.833800E-01      0.0113      0.0001
        48        96  0.748710E-01      0.0119      0.0001
        49        96  0.574930E-01      0.0135      0.0001
        50        48  0.929650E-01      0.0053      0.0001
        51        96  0.579990E-01      0.0134      0.0001
        52       192  0.535870E-01      0.0277      0.0001
        53        96  0.489890E-01      0.0143      0.0001
        54        48  0.533220E-01      0.0069      0.0001
        55       192  0.651710E-01      0.0256      0.0001
        56        96  0.492390E-01      0.0143      0.0001
        57        16  0.808730E-01      0.0019      0.0001
        58        48  0.114643E+00      0.0045      0.0001
        59        48  0.699560E-01      0.0062      0.0001
        60        96  0.221830E-01      0.0172      0.0002
        61       192  0.308670E-01      0.0324      0.0002
        62        96  0.000000E+00      0.0201      0.0002
        63        96  0.248060E-01      0.0169      0.0002
        64        48  0.141520E-01      0.0091      0.0002
        65        48  0.370770E-01      0.0078      0.0002


 Infinite Temperature Limit
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        48  0.108074E+00      0.0060      0.0001
         2        96  0.111649E+00      0.0120      0.0001
         3        96  0.910370E-01      0.0120      0.0001
         4        96  0.778650E-01      0.0120      0.0001
         5       192  0.832110E-01      0.0240      0.0001
         6       192  0.101689E+00      0.0240      0.0001
         7       192  0.720570E-01      0.0240      0.0001
         8        16  0.467230E-01      0.0020      0.0001
         9        48  0.978060E-01      0.0060      0.0001
        10       192  0.121804E+00      0.0240      0.0001
        11        96  0.119026E+00      0.0120      0.0001
        12        32  0.956690E-01      0.0040      0.0001
        13       192  0.919060E-01      0.0240      0.0001
        14       192  0.732050E-01      0.0240      0.0001
        15       192  0.626040E-01      0.0240      0.0001
        16       192  0.100592E+00      0.0240      0.0001
        17       192  0.825080E-01      0.0240      0.0001
        18        64  0.834740E-01      0.0080      0.0001
        19       192  0.748880E-01      0.0240      0.0001
        20        96  0.595250E-01      0.0120      0.0001
        21       192  0.584010E-01      0.0240      0.0001
        22       192  0.840180E-01      0.0240      0.0001
        23       192  0.751740E-01      0.0240      0.0001
        24       192  0.544360E-01      0.0240      0.0001
        25       192  0.635330E-01      0.0240      0.0001
        26        96  0.473190E-01      0.0120      0.0001
        27       192  0.679720E-01      0.0240      0.0001
        28        96  0.925690E-01      0.0120      0.0001
        29       192  0.695950E-01      0.0240      0.0001
        30       192  0.730420E-01      0.0240      0.0001
        31       192  0.696070E-01      0.0240      0.0001
        32       192  0.636740E-01      0.0240      0.0001
        33        48  0.121968E+00      0.0060      0.0001
        34       192  0.103903E+00      0.0240      0.0001
        35        32  0.862990E-01      0.0040      0.0001
        36       192  0.114193E+00      0.0240      0.0001
        37        48  0.110175E+00      0.0060      0.0001
        38        96  0.108395E+00      0.0120      0.0001
        39        96  0.110829E+00      0.0120      0.0001
        40        96  0.101103E+00      0.0120      0.0001
        41        48  0.111739E+00      0.0060      0.0001
        42       192  0.801210E-01      0.0240      0.0001
        43        24  0.114511E+00      0.0030      0.0001
        44        96  0.103104E+00      0.0120      0.0001
        45       192  0.845660E-01      0.0240      0.0001
        46       192  0.781660E-01      0.0240      0.0001
        47        96  0.833800E-01      0.0120      0.0001
        48        96  0.748710E-01      0.0120      0.0001
        49        96  0.574930E-01      0.0120      0.0001
        50        48  0.929650E-01      0.0060      0.0001
        51        96  0.579990E-01      0.0120      0.0001
        52       192  0.535870E-01      0.0240      0.0001
        53        96  0.489890E-01      0.0120      0.0001
        54        48  0.533220E-01      0.0060      0.0001
        55       192  0.651710E-01      0.0240      0.0001
        56        96  0.492390E-01      0.0120      0.0001
        57        16  0.808730E-01      0.0020      0.0001
        58        48  0.114643E+00      0.0060      0.0001
        59        48  0.699560E-01      0.0060      0.0001
        60        96  0.221830E-01      0.0120      0.0001
        61       192  0.308670E-01      0.0240      0.0001
        62        96  0.000000E+00      0.0120      0.0001
        63        96  0.248060E-01      0.0120      0.0001
        64        48  0.141520E-01      0.0060      0.0001
        65        48  0.370770E-01      0.0060      0.0001
