Structure,Energy,Nucleus,delta_iso
06,-68563.241703,Sn04,-657.2771666172584
06,-68563.241703,Sn05,-657.277512510756
06,-68563.241703,Sn06,-657.2771636633129
06,-68563.241703,Sn07,-657.5384655361268
06,-68563.241703,Sn08,-651.4349917059967
06,-68563.241703,Sn09,-651.4351421328242
06,-68563.241703,Sn10,-657.5385869944957
07,-68563.197088,Sn01,-657.7041227503864
07,-68563.197088,Sn02,-655.9511528360213
07,-68563.197088,Sn03,-660.354816540811
07,-68563.197088,Sn04,-656.9071812145085
07,-68563.197088,Sn05,-656.6775543866843
07,-68563.197088,Sn06,-657.379099399257
07,-68563.197088,Sn07,-657.1672143655537
07,-68563.197088,Sn08,-659.5275420645976
07,-68563.197088,Sn09,-657.5923007748379
07,-68563.197088,Sn10,-658.1965209079312
08,-68563.207842,Sn01,-657.434282205516
08,-68563.207842,Sn02,-657.4349453333298
08,-68563.207842,Sn03,-660.9567427363518
08,-68563.207842,Sn04,-655.7036548222213
08,-68563.207842,Sn05,-659.59184039517
08,-68563.207842,Sn06,-655.7040167849927
08,-68563.207842,Sn07,-659.5913411530928
08,-68563.207842,Sn08,-657.7395738703653
08,-68563.207842,Sn09,-657.7398039405848
08,-68563.207842,Sn10,-658.3827506426151
09,-68563.213644,Sn01,-655.4864385562514
09,-68563.213644,Sn02,-655.48667328795
09,-68563.213644,Sn03,-652.8300699400602
09,-68563.213644,Sn04,-658.0264030989674
09,-68563.213644,Sn05,-657.2516550654436
09,-68563.213644,Sn06,-657.2520103217948
09,-68563.213644,Sn07,-658.0265905535521
09,-68563.213644,Sn08,-657.6067528207177
09,-68563.213644,Sn09,-656.4394619878485
09,-68563.213644,Sn10,-657.60701997754
10,-68563.257665,Sn01,-646.5230767646326
10,-68563.257665,Sn02,-647.5778857171617
10,-68563.257665,Sn03,-646.7806934448467
10,-68563.257665,Sn04,-656.0569361934668
10,-68563.257665,Sn05,-658.6697489177072
10,-68563.257665,Sn06,-657.3839843110254
10,-68563.257665,Sn07,-659.2772392527095
10,-68563.257665,Sn08,-651.6093770216353
10,-68563.257665,Sn09,-658.7789619065779
10,-68563.257665,Sn10,-649.2612859246269
11,-68563.197969,Sn01,-655.9676587104386
11,-68563.197969,Sn02,-655.9675271944616
11,-68563.197969,Sn03,-657.8718292736467
11,-68563.197969,Sn04,-655.0294714194783
11,-68563.197969,Sn05,-657.9059404900918
11,-68563.197969,Sn06,-658.7552668211824
11,-68563.197969,Sn07,-657.8723818031931
11,-68563.197969,Sn08,-658.7550938681534
11,-68563.197969,Sn09,-655.0294601356718
11,-68563.197969,Sn10,-657.0019203180505
12,-68563.228253,Sn01,-647.3549476666813
12,-68563.228253,Sn02,-647.3482085822666
12,-68563.228253,Sn03,-659.3515931498641
12,-68563.228253,Sn04,-648.0609782057595
12,-68563.228253,Sn05,-659.4240449351437
12,-68563.228253,Sn06,-657.2310061195294
12,-68563.228253,Sn07,-660.2153383546847
12,-68563.228253,Sn08,-657.6421474853901
12,-68563.228253,Sn09,-656.8023374065933
12,-68563.228253,Sn10,-647.6675799541149
13,-68563.246717,Sn01,-646.5841711277053
13,-68563.246717,Sn02,-646.5843834458205
13,-68563.246717,Sn03,-659.3906072372383
13,-68563.246717,Sn04,-648.3383056135785
13,-68563.246717,Sn05,-657.9176608234734
13,-68563.246717,Sn06,-658.2295387601098
13,-68563.246717,Sn07,-659.3909482995396
13,-68563.246717,Sn08,-658.2298089996093
13,-68563.246717,Sn09,-657.9179175091249
13,-68563.246717,Sn10,-641.5506922728691
14,-68563.246140,Sn01,-646.3890705498334
14,-68563.246140,Sn02,-646.5413747675298
14,-68563.246140,Sn03,-659.2050239673717
14,-68563.246140,Sn04,-649.1253050307014
14,-68563.246140,Sn05,-655.2428593345394
14,-68563.246140,Sn06,-659.3249492212863
14,-68563.246140,Sn07,-651.7334832773063
14,-68563.246140,Sn08,-659.9772280311386
14,-68563.246140,Sn09,-656.5230293467771
14,-68563.246140,Sn10,-649.0405997050557
15,-68563.226934,Sn01,-655.5131331713101
15,-68563.226934,Sn02,-655.5139428487892
15,-68563.226934,Sn03,-660.6576118961125
15,-68563.226934,Sn04,-658.836720613308
15,-68563.226934,Sn05,-654.9852568967976
15,-68563.226934,Sn06,-651.666558646336
15,-68563.226934,Sn07,-657.4509574222266
