
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.40377420609525      eV
 Composition: x =   0.87499999999472156     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  8     50       48           -67062.36430      -61059.13411    0.336984E-05    0.702049E-07
  8     51       96           -67062.35851      -61059.12831    0.538563E-05    0.561003E-07
  8     52      192           -67062.41745      -61059.18725    0.105293E-03    0.548399E-06
  8     53      192           -67062.39766      -61059.16747    0.489787E-04    0.255098E-06
  8     54      192           -67062.42900      -61059.19880    0.164600E-03    0.857290E-06
  8     55       48           -67062.40622      -61059.17603    0.170536E-04    0.355284E-06
  8     56      192           -67062.41988      -61059.18968    0.115674E-03    0.602470E-06
  8     57      192           -67062.41906      -61059.18887    0.112080E-03    0.583750E-06
  8     58       96           -67062.42897      -61059.19878    0.822171E-04    0.856428E-06
  8     59      192           -67062.42367      -61059.19348    0.133980E-03    0.697813E-06
  8     60      192           -67062.43777      -61059.20758    0.231158E-03    0.120395E-05
  8     61      192           -67062.40146      -61059.17127    0.567342E-04    0.295490E-06
  8     62      192           -67062.43244      -61059.20225    0.188084E-03    0.979606E-06
  8     63      192           -67062.44145      -61059.21126    0.266510E-03    0.138807E-05
  8     64      192           -67062.39707      -61059.16688    0.478717E-04    0.249332E-06
  8     65       96           -67062.40749      -61059.17729    0.358135E-04    0.373058E-06
  8     66      192           -67062.42128      -61059.19109    0.122130E-03    0.636094E-06
  8     67      192           -67062.40120      -61059.17101    0.561708E-04    0.292556E-06
  8     68       96           -67062.35701      -61059.12681    0.508223E-05    0.529399E-07
  8     69       96           -67062.35604      -61059.12584    0.489507E-05    0.509904E-07
  8     70      192           -67062.37643      -61059.14623    0.215431E-04    0.112204E-06
  8     71       96           -67062.37170      -61059.14151    0.897124E-05    0.934504E-07
  8     72       96           -67062.39875      -61059.16856    0.255479E-04    0.266124E-06
  8     73      192           -67062.40666      -61059.17646    0.693693E-04    0.361298E-06
  8     74       96           -67062.41114      -61059.18095    0.412539E-04    0.429728E-06
  8     75       96           -67062.42871      -61059.19852    0.814038E-04    0.847956E-06
  8     76       24           -67062.40570      -61059.17550    0.835507E-05    0.348128E-06
  8     77       96           -67062.36628      -61059.13609    0.727558E-05    0.757873E-07
  8     78       96           -67062.36486      -61059.13467    0.688726E-05    0.717423E-07
  8     79       48           -67062.36441      -61059.13422    0.338368E-05    0.704934E-07
  8     80      192           -67062.39150      -61059.16131    0.385974E-04    0.201028E-06
  8     81      192           -67062.37530      -61059.14510    0.206226E-04    0.107409E-06
  8     82       96           -67062.41244      -61059.18224    0.433697E-04    0.451768E-06
  8     83       96           -67062.39691      -61059.16672    0.237919E-04    0.247832E-06
  8     84      192           -67062.42530      -61059.19510    0.142650E-03    0.742968E-06
  8     85      192           -67062.44172      -61059.21152    0.269225E-03    0.140221E-05
  8     86      192           -67062.41863      -61059.18844    0.110223E-03    0.574077E-06
  8     87       96           -67062.42418      -61059.19399    0.683115E-04    0.711578E-06
  8     88       96           -67062.41311      -61059.18291    0.445101E-04    0.463647E-06
  8     89      192           -67062.44060      -61059.21041    0.257870E-03    0.134307E-05
  8     90       48           -67062.41450      -61059.18431    0.234871E-04    0.489315E-06
  8     91       96           -67062.44096      -61059.21077    0.130733E-03    0.136180E-05
  8     92       48           -67062.47212      -61059.24193    0.218191E-03    0.454564E-05
  8     93       96           -67062.46959      -61059.23939    0.395622E-03    0.412106E-05
  8     94        6           -67062.34545      -61059.11525    0.203096E-06    0.338494E-07
  8     95       24           -67062.40391      -61059.17372    0.779734E-05    0.324889E-06
  8     96       48           -67062.45068      -61059.22049    0.952162E-04    0.198367E-05
  8     97       12           -67062.47861      -61059.24841    0.701030E-04    0.584191E-05
  9      1       16           -67812.76296      -61059.12899    0.921343E-06    0.575840E-07
  9      2       96           -67812.80679      -61059.17283    0.301313E-04    0.313868E-06
  9      3      192           -67812.77905      -61059.14508    0.206009E-04    0.107296E-06
  9      4      192           -67812.76004      -61059.12608    0.987832E-05    0.514496E-07
  9      5      192           -67812.79110      -61059.15713    0.328347E-04    0.171014E-06
  9      6      192           -67812.77669      -61059.14273    0.188094E-04    0.979654E-07
  9      7      192           -67812.78688      -61059.15292    0.278971E-04    0.145297E-06
  9      8      192           -67812.80827      -61059.17430    0.637935E-04    0.332258E-06
  9      9       96           -67812.81566      -61059.18169    0.424531E-04    0.442220E-06
  9     10       64           -67812.80977      -61059.17580    0.225366E-04    0.352134E-06
  9     11      192           -67812.79968      -61059.16571    0.457584E-04    0.238325E-06
  9     12       32           -67812.75844      -61059.12447    0.154710E-05    0.483469E-07
  9     13       96           -67812.76132      -61059.12735    0.518866E-05    0.540486E-07
  9     14      192           -67812.80434      -61059.17037    0.547968E-04    0.285400E-06
  9     15       96           -67812.81421      -61059.18024    0.401376E-04    0.418100E-06
  9     16       96           -67812.82611      -61059.19214    0.636130E-04    0.662636E-06
  9     17       96           -67812.75873      -61059.12476    0.469421E-05    0.488980E-07
  9     18       96           -67812.75730      -61059.12334    0.444246E-05    0.462756E-07
  9     19       96           -67812.77566      -61059.14170    0.903804E-05    0.941463E-07
  9     20       96           -67812.76941      -61059.13545    0.709679E-05    0.739249E-07
  9     21      192           -67812.79488      -61059.16091    0.380059E-04    0.197948E-06
  9     22      192           -67812.77850      -61059.14453    0.201680E-04    0.105042E-06
  9     23      192           -67812.78810      -61059.15413    0.292429E-04    0.152307E-06
  9     24      192           -67812.78696      -61059.15299    0.279792E-04    0.145725E-06
  9     25       48           -67812.77802      -61059.14405    0.495040E-05    0.103133E-06
  9     26       48           -67812.79165      -61059.15768    0.838519E-05    0.174692E-06
  9     27      192           -67812.81861      -61059.18464    0.951805E-04    0.495732E-06
