
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.43926838109940      eV
 Composition: x =   0.25000000003087003     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  7     12      192           -66311.96920      -61058.89113    0.605077E-03    0.315144E-05
  7     13      192           -66311.97897      -61058.90090    0.882820E-03    0.459802E-05
  7     14      192           -66311.95455      -61058.87647    0.343203E-03    0.178751E-05
  7     15      192           -66311.94879      -61058.87071    0.274697E-03    0.143071E-05
  7     16      192           -66311.97501      -61058.89694    0.757438E-03    0.394499E-05
  7     17      192           -66311.97941      -61058.90133    0.897905E-03    0.467659E-05
  7     18      192           -66311.97931      -61058.90123    0.894335E-03    0.465799E-05
  7     19       96           -66311.98554      -61058.90747    0.569199E-03    0.592915E-05
  7     20       96           -66311.97225      -61058.89418    0.340423E-03    0.354607E-05
  7     21      192           -66311.93300      -61058.85492    0.149140E-03    0.776771E-06
  7     22      192           -66311.95195      -61058.87387    0.310401E-03    0.161667E-05
  7     23       96           -66311.91308      -61058.83501    0.345096E-04    0.359475E-06
  7     24       96           -66311.92432      -61058.84625    0.533065E-04    0.555276E-06
  7     25      192           -66311.93376      -61058.85569    0.153625E-03    0.800131E-06
  7     26      192           -66311.94964      -61058.87156    0.283846E-03    0.147837E-05
  7     27      192           -66311.95674      -61058.87867    0.373616E-03    0.194592E-05
  7     28      192           -66311.94869      -61058.87062    0.273668E-03    0.142536E-05
  7     29       96           -66311.96376      -61058.88569    0.245119E-03    0.255332E-05
  7     30      192           -66311.92504      -61058.84696    0.109616E-03    0.570914E-06
  7     31       96           -66311.92608      -61058.84800    0.570510E-04    0.594281E-06
  7     32      192           -66311.94219      -61058.86412    0.212837E-03    0.110852E-05
  7     33      192           -66311.95534      -61058.87727    0.353921E-03    0.184334E-05
  7     34      192           -66311.93241      -61058.85433    0.145775E-03    0.759244E-06
  7     35      192           -66311.94584      -61058.86777    0.245083E-03    0.127647E-05
  7     36      192           -66311.96232      -61058.88424    0.463551E-03    0.241433E-05
  7     37      192           -66311.94051      -61058.86244    0.199438E-03    0.103874E-05
  7     38       96           -66311.94944      -61058.87137    0.140868E-03    0.146737E-05
  7     39      192           -66311.96984      -61058.89176    0.620124E-03    0.322981E-05
  7     40       96           -66311.93276      -61058.85468    0.738695E-04    0.769474E-06
  7     41      192           -66311.96916      -61058.89109    0.604142E-03    0.314657E-05
  7     42       96           -66311.96775      -61058.88967    0.285937E-03    0.297851E-05
  7     43       96           -66311.96666      -61058.88858    0.274143E-03    0.285565E-05
  7     44       96           -66311.99143      -61058.91336    0.714789E-03    0.744572E-05
  7     45       96           -66311.96841      -61058.89034    0.293388E-03    0.305612E-05
  7     46      192           -66311.97714      -61058.89907    0.822488E-03    0.428379E-05
  7     47      192           -66311.96119      -61058.88312    0.443811E-03    0.231152E-05
  7     48      192           -66311.99185      -61058.91377    0.145277E-02    0.756650E-05
  7     49      192           -66311.99770      -61058.91963    0.182189E-02    0.948901E-05
  7     50      192           -66311.97840      -61058.90033    0.863669E-03    0.449827E-05
  7     51       48           -66311.98007      -61058.90200    0.230317E-03    0.479826E-05
  7     52       96           -66311.96713      -61058.88906    0.279248E-03    0.290883E-05
  7     53       48           -66311.91035      -61058.83227    0.155232E-04    0.323400E-06
  7     54       96           -66311.93432      -61058.85624    0.784734E-04    0.817431E-06
  7     55      192           -66311.93864      -61058.86057    0.185506E-03    0.966179E-06
  7     56      192           -66311.94337      -61058.86529    0.222716E-03    0.115998E-05
  7     57       32           -66311.93053      -61058.85246    0.225926E-04    0.706018E-06
  7     58       96           -66311.95366      -61058.87559    0.165833E-03    0.172742E-05
  7     59       96           -66311.95312      -61058.87505    0.162405E-03    0.169172E-05
  7     60      192           -66311.96400      -61058.88593    0.494810E-03    0.257713E-05
  7     61       96           -66311.96270      -61058.88463    0.235280E-03    0.245084E-05
  7     62       16           -66311.93216      -61058.85409    0.120324E-04    0.752024E-06
  7     63       96           -66311.99363      -61058.91555    0.778160E-03    0.810583E-05
  7     64      192           -66312.02416      -61058.94608    0.506948E-02    0.264035E-04
  7     65      192           -66312.00195      -61058.92387    0.214726E-02    0.111837E-04
  7     66      192           -66312.02133      -61058.94326    0.454540E-02    0.236740E-04
  7     67      192           -66312.01008      -61058.93200    0.294067E-02    0.153160E-04
  7     68       64           -66311.99630      -61058.91823    0.575395E-03    0.899055E-05
  7     69       96           -66312.02607      -61058.94800    0.272974E-02    0.284347E-04
  7     70      192           -66312.01215      -61058.93407    0.318594E-02    0.165934E-04
  7     71      192           -66312.02303      -61058.94495    0.485322E-02    0.252772E-04
  7     72       96           -66311.98848      -61058.91041    0.637755E-03    0.664328E-05
  7     73      192           -66312.02080      -61058.94273    0.445282E-02    0.231918E-04
  7     74       96           -66311.98403      -61058.90595    0.536801E-03    0.559167E-05
  7     75       96           -66312.03621      -61058.95814    0.404109E-02    0.420947E-04
  7     76      192           -66311.98906      -61058.91098    0.130420E-02    0.679269E-05
  7     77       96           -66311.99918      -61058.92110    0.964506E-03    0.100469E-04
  7     78       96           -66311.95201      -61058.87393    0.155549E-03    0.162030E-05
  7     79       96           -66311.97882      -61058.90075    0.438907E-03    0.457195E-05
  7     80       48           -66311.97449      -61058.89641    0.185567E-03    0.386598E-05
  7     81       32           -66312.00074      -61058.92267    0.341566E-03    0.106739E-04
  7     82       16           -66312.07070      -61058.99263    0.255674E-02    0.159796E-03
  8      1       48           -67062.37149      -61058.85166    0.328599E-04    0.684581E-06
  8      2       96           -67062.33935      -61058.81952    0.189606E-04    0.197506E-06
  8      3      192           -67062.38655      -61058.86672    0.235391E-03    0.122600E-05
  8      4      192           -67062.36876      -61058.84893    0.118263E-03    0.615951E-06
  8      5      192           -67062.39867      -61058.87884    0.376137E-03    0.195905E-05
  8      6      192           -67062.39225      -61058.87242    0.293424E-03    0.152825E-05
  8      7       96           -67062.35957      -61058.83974    0.414444E-04    0.431713E-06
  8      8      192           -67062.33768      -61058.81785    0.355463E-04    0.185137E-06
  8      9      192           -67062.35671      -61058.83689    0.742251E-04    0.386589E-06
  8     10       96           -67062.36931      -61058.84948    0.604028E-04    0.629196E-06
  8     11      192           -67062.37592      -61058.85609    0.156044E-03    0.812730E-06
  8     12      192           -67062.37400      -61058.85417    0.144875E-03    0.754557E-06
  8     13       48           -67062.32089      -61058.80106    0.464149E-05    0.966978E-07
  8     14      192           -67062.34967      -61058.82984    0.565241E-04    0.294396E-06
  8     15      192           -67062.34013      -61058.82030    0.390798E-04    0.203541E-06
  8     16      192           -67062.35628      -61058.83645    0.729838E-04    0.380124E-06
  8     17      192           -67062.36970      -61058.84987    0.122651E-03    0.638809E-06
  8     18      192           -67062.36911      -61058.84928    0.119888E-03    0.624419E-06
  8     19       96           -67062.36918      -61058.84935    0.601138E-04    0.626185E-06
  8     20       96           -67062.38028      -61058.86045    0.923411E-04    0.961887E-06
  8     21       96           -67062.35428      -61058.83445    0.337817E-04    0.351893E-06
  8     22      192           -67062.36855      -61058.84872    0.117301E-03    0.610944E-06
  8     23      192           -67062.39009      -61058.87026    0.269914E-03    0.140580E-05
