 Configuration with minimum energy:           35
 Configuration with maximum energy:           13

Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
        35        96  0.000000E+00      0.0412      0.0004


Temperature=   1673.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        96  0.100437E+00      0.0177      0.0002
         2       192  0.797810E-01      0.0409      0.0002
         3        48  0.884090E-01      0.0096      0.0002
         4       192  0.918530E-01      0.0376      0.0002
         5        96  0.747050E-01      0.0212      0.0002
         6       192  0.608300E-01      0.0466      0.0002
         7        96  0.644310E-01      0.0227      0.0002
         8        96  0.911920E-01      0.0189      0.0002
         9        96  0.486800E-01      0.0254      0.0003
        10       192  0.841750E-01      0.0396      0.0002
        11        96  0.531610E-01      0.0246      0.0003
        12        96  0.734650E-01      0.0214      0.0002
        13        48  0.111242E+00      0.0082      0.0002
        14        96  0.108907E+00      0.0167      0.0002
        15        96  0.103210E+00      0.0174      0.0002
        16       192  0.828490E-01      0.0400      0.0002
        17       192  0.705160E-01      0.0436      0.0002
        18       192  0.643780E-01      0.0455      0.0002
        19       192  0.616880E-01      0.0463      0.0002
        20       192  0.542080E-01      0.0488      0.0003
        21        96  0.650990E-01      0.0226      0.0002
        22        96  0.430320E-01      0.0264      0.0003
        23       192  0.811570E-01      0.0405      0.0002
        24       192  0.728940E-01      0.0429      0.0002
        25       192  0.535800E-01      0.0490      0.0003
        26       192  0.582800E-01      0.0475      0.0002
        27        96  0.754170E-01      0.0211      0.0002
        28        96  0.667660E-01      0.0224      0.0002
        29        96  0.985770E-01      0.0179      0.0002
        30        48  0.927670E-01      0.0093      0.0002
        31        48  0.852610E-01      0.0098      0.0002
        32        96  0.568380E-01      0.0240      0.0002
        33        96  0.544660E-01      0.0244      0.0003
        34        48  0.337620E-01      0.0141      0.0003
        35        96  0.000000E+00      0.0355      0.0004


 Infinite Temperature Limit
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1        96  0.100437E+00      0.0220      0.0002
         2       192  0.797810E-01      0.0440      0.0002
         3        48  0.884090E-01      0.0110      0.0002
         4       192  0.918530E-01      0.0440      0.0002
         5        96  0.747050E-01      0.0220      0.0002
         6       192  0.608300E-01      0.0440      0.0002
         7        96  0.644310E-01      0.0220      0.0002
         8        96  0.911920E-01      0.0220      0.0002
         9        96  0.486800E-01      0.0220      0.0002
        10       192  0.841750E-01      0.0440      0.0002
        11        96  0.531610E-01      0.0220      0.0002
        12        96  0.734650E-01      0.0220      0.0002
        13        48  0.111242E+00      0.0110      0.0002
        14        96  0.108907E+00      0.0220      0.0002
        15        96  0.103210E+00      0.0220      0.0002
        16       192  0.828490E-01      0.0440      0.0002
        17       192  0.705160E-01      0.0440      0.0002
        18       192  0.643780E-01      0.0440      0.0002
        19       192  0.616880E-01      0.0440      0.0002
        20       192  0.542080E-01      0.0440      0.0002
        21        96  0.650990E-01      0.0220      0.0002
        22        96  0.430320E-01      0.0220      0.0002
        23       192  0.811570E-01      0.0440      0.0002
        24       192  0.728940E-01      0.0440      0.0002
        25       192  0.535800E-01      0.0440      0.0002
        26       192  0.582800E-01      0.0440      0.0002
        27        96  0.754170E-01      0.0220      0.0002
        28        96  0.667660E-01      0.0220      0.0002
        29        96  0.985770E-01      0.0220      0.0002
        30        48  0.927670E-01      0.0110      0.0002
        31        48  0.852610E-01      0.0110      0.0002
        32        96  0.568380E-01      0.0220      0.0002
        33        96  0.544660E-01      0.0220      0.0002
        34        48  0.337620E-01      0.0110      0.0002
        35        96  0.000000E+00      0.0220      0.0002
