
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.41543552253393      eV
 Composition: x =   0.75000000000867417     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  5     21       96           -64811.14266      -61059.04798    0.959484E-04    0.999463E-06
  5     22       96           -64811.16473      -61059.07004    0.225293E-03    0.234680E-05
  5     23      192           -64811.12660      -61059.03192    0.103111E-03    0.537037E-06
  5     24      192           -64811.13486      -61059.04018    0.141944E-03    0.739293E-06
  5     25      192           -64811.15418      -61059.05949    0.299625E-03    0.156055E-05
  5     26      192           -64811.14948      -61059.05479    0.249817E-03    0.130113E-05
  5     27       96           -64811.13234      -61059.03766    0.643729E-04    0.670551E-06
  5     28       96           -64811.14099      -61059.04631    0.899567E-04    0.937049E-06
  5     29       96           -64811.10918      -61059.01450    0.262804E-04    0.273755E-06
  5     30       48           -64811.11499      -61059.02031    0.164515E-04    0.342740E-06
  5     31       48           -64811.12250      -61059.02781    0.219939E-04    0.458205E-06
  5     32       96           -64811.15092      -61059.05624    0.132074E-03    0.137577E-05
  5     33       96           -64811.15329      -61059.05861    0.144765E-03    0.150797E-05
  5     34       48           -64811.17400      -61059.07931    0.161230E-03    0.335896E-05
  5     35       96           -64811.20776      -61059.11307    0.119029E-02    0.123988E-04
  6      1       48           -65561.52021      -61059.01473    0.132608E-04    0.276267E-06
  6      2       96           -65561.51663      -61059.01116    0.230964E-04    0.240587E-06
  6      3       96           -65561.53725      -61059.03177    0.512637E-04    0.533997E-06
  6      4       96           -65561.55042      -61059.04494    0.853276E-04    0.888829E-06
  6      5      192           -65561.54507      -61059.03960    0.138775E-03    0.722786E-06
  6      6      192           -65561.52659      -61059.02112    0.679038E-04    0.353666E-06
  6      7      192           -65561.55623      -61059.05075    0.213643E-03    0.111273E-05
  6      8       16           -65561.58156      -61059.07608    0.474352E-04    0.296470E-05
  6      9       48           -65561.53048      -61059.02500    0.197272E-04    0.410984E-06
  6     10      192           -65561.50648      -61059.00100    0.311873E-04    0.162434E-06
  6     11       96           -65561.50926      -61059.00378    0.173626E-04    0.180861E-06
  6     12       32           -65561.53261      -61059.02714    0.142848E-04    0.446400E-06
  6     13      192           -65561.53638      -61059.03090    0.991382E-04    0.516345E-06
  6     14      192           -65561.55508      -61059.04960    0.204364E-03    0.106439E-05
  6     15      192           -65561.56568      -61059.06020    0.307959E-03    0.160395E-05
  6     16      192           -65561.52769      -61059.02222    0.708472E-04    0.368996E-06
  6     17      192           -65561.54578      -61059.04030    0.142600E-03    0.742710E-06
  6     18       64           -65561.54481      -61059.03933    0.457901E-04    0.715470E-06
  6     19      192           -65561.55339      -61059.04792    0.191483E-03    0.997309E-06
  6     20       96           -65561.56876      -61059.06328    0.173455E-03    0.180683E-05
  6     21      192           -65561.56988      -61059.06441    0.362326E-03    0.188712E-05
  6     22      192           -65561.54427      -61059.03879    0.134510E-03    0.700571E-06
  6     23      192           -65561.55311      -61059.04763    0.189377E-03    0.986336E-06
  6     24      192           -65561.57385      -61059.06837    0.422386E-03    0.219992E-05
  6     25      192           -65561.56475      -61059.05927    0.297089E-03    0.154734E-05
  6     26       96           -65561.58096      -61059.07549    0.278125E-03    0.289713E-05
  6     27      192           -65561.56031      -61059.05484    0.250216E-03    0.130321E-05
  6     28       96           -65561.53571      -61059.03024    0.483140E-04    0.503271E-06
  6     29      192           -65561.55869      -61059.05321    0.234990E-03    0.122391E-05
  6     30      192           -65561.55524      -61059.04977    0.205656E-03    0.107113E-05
  6     31      192           -65561.55868      -61059.05320    0.234881E-03    0.122334E-05
  6     32      192           -65561.56461      -61059.05913    0.295473E-03    0.153892E-05
  6     33       48           -65561.50632      -61059.00084    0.774751E-05    0.161406E-06
  6     34      192           -65561.52438      -61059.01890    0.623305E-04    0.324638E-06
  6     35       32           -65561.54198      -61059.03651    0.205250E-04    0.641407E-06
  6     36      192           -65561.51409      -61059.00861    0.418636E-04    0.218039E-06
  6     37       48           -65561.51811      -61059.01263    0.122258E-04    0.254703E-06
  6     38       96           -65561.51989      -61059.01441    0.261944E-04    0.272858E-06
  6     39       96           -65561.51745      -61059.01198    0.238407E-04    0.248341E-06
  6     40       96           -65561.52718      -61059.02170    0.347303E-04    0.361774E-06
  6     41       48           -65561.51654      -61059.01107    0.115081E-04    0.239751E-06
  6     42      192           -65561.54816      -61059.04269    0.156394E-03    0.814553E-06
  6     43       24           -65561.51377      -61059.00830    0.516897E-05    0.215374E-06
  6     44       96           -65561.52518      -61059.01970    0.321435E-04    0.334828E-06
  6     45      192           -65561.54372      -61059.03824    0.131688E-03    0.685877E-06
  6     46      192           -65561.55012      -61059.04464    0.168680E-03    0.878540E-06
  6     47       96           -65561.54490      -61059.03943    0.689353E-04    0.718076E-06
  6     48       96           -65561.55341      -61059.04794    0.958046E-04    0.997965E-06
  6     49       96           -65561.57079      -61059.06531    0.187639E-03    0.195458E-05
  6     50       48           -65561.53532      -61059.02984    0.237898E-04    0.495621E-06
  6     51       96           -65561.57028      -61059.06481    0.184002E-03    0.191669E-05
  6     52      192           -65561.57470      -61059.06922    0.436487E-03    0.227337E-05
  6     53       96           -65561.57929      -61059.07382    0.260726E-03    0.271590E-05
  6     54       48           -65561.57496      -61059.06949    0.110246E-03    0.229679E-05
  6     55      192           -65561.56311      -61059.05764    0.278849E-03    0.145234E-05
  6     56       96           -65561.57904      -61059.07357    0.258217E-03    0.268976E-05
  6     57       16           -65561.54741      -61059.04193    0.126592E-04    0.791200E-06
